Orthogroup	DANRE	YEAST
OG0001326	DANRE05749, DANRE05748, DANRE43139, DANRE01553, DANRE33552, DANRE33553, DANRE33551, DANRE05304, DANRE16141	YEAST05395
OG0001327	DANRE25508, DANRE25510, DANRE25509, DANRE31148, DANRE31147, DANRE02284	YEAST03176
OG0001332	DANRE16331, DANRE38071	YEAST03929, YEAST02705, YEAST00687
OG0001333	DANRE00100, DANRE03587	YEAST00728
OG0001341	DANRE39753, DANRE02429	YEAST06006
OG0001345	DANRE40478, DANRE40477	YEAST03613
OG0001353	DANRE11425, DANRE22526, DANRE22525, DANRE28302, DANRE28301, DANRE22523, DANRE22524	YEAST00020, YEAST04041
OG0001363	DANRE36183, DANRE36182, DANRE26801, DANRE19464, DANRE19465	YEAST06180
OG0001364	DANRE00727, DANRE00728, DANRE37949, DANRE28112	YEAST06038, YEAST00402
OG0001367	DANRE35489, DANRE35487, DANRE35488, DANRE27264, DANRE27263, DANRE18747, DANRE18746, DANRE11545, DANRE11547	YEAST04688
OG0001368	DANRE11214, DANRE18968, DANRE11869, DANRE11868	YEAST01821
OG0001370	DANRE12902, DANRE12901, DANRE42207, DANRE42206	YEAST04067, YEAST05195, YEAST00897
OG0001371	DANRE21328	YEAST00532, YEAST03976
OG0001372	DANRE36486, DANRE36487, DANRE36488, DANRE36489	YEAST00070
OG0001375	DANRE10157, DANRE18696, DANRE09144, DANRE14191	YEAST05499, YEAST05567
OG0001378	DANRE39692, DANRE00586, DANRE00587, DANRE04190, DANRE04191, DANRE15660, DANRE20427, DANRE07393, DANRE06565, DANRE06566	YEAST02300
OG0001379	DANRE26946, DANRE36264, DANRE36263, DANRE06960, DANRE06961, DANRE06962, DANRE01201, DANRE01199, DANRE01200	YEAST04155
OG0001386	DANRE03392, DANRE03393, DANRE03394, DANRE03391, DANRE14264	YEAST05114
OG0001397	DANRE07349, DANRE05010, DANRE04061, DANRE04062	YEAST05731
OG0001400	DANRE14343, DANRE03875, DANRE03874, DANRE03873, DANRE41416, DANRE41417, DANRE14344, DANRE09550	YEAST02931
OG0001409	DANRE09251, DANRE09250, DANRE13818, DANRE13817, DANRE13819, DANRE16638, DANRE41648	YEAST00885, YEAST04659
OG0001410	DANRE30066, DANRE30065, DANRE24024	YEAST05046
OG0001411	DANRE17922, DANRE17923, DANRE17924	YEAST04834
OG0001412	DANRE34214, DANRE35250, DANRE35249, DANRE35251	YEAST04490
OG0001413	DANRE35337, DANRE38970	YEAST04294
OG0001414	DANRE16711, DANRE04939	YEAST06070, YEAST01920
OG0001415	DANRE33647, DANRE33648	YEAST04230
OG0001415	DANRE41471	YEAST00964
OG0001421	DANRE00035, DANRE10854, DANRE17719, DANRE10855, DANRE18329, DANRE18327	YEAST05252
OG0001422	DANRE09528, DANRE09527, DANRE41453	YEAST05588, YEAST01363
OG0001424	DANRE22605, DANRE22606, DANRE42572, DANRE42573	YEAST01127
OG0001427	DANRE40320, DANRE40321, DANRE22541, DANRE22540, DANRE22539, DANRE40322, DANRE24655, DANRE24656, DANRE24657, DANRE24658, DANRE30640, DANRE30639, DANRE11704	YEAST01885
OG0001428	DANRE22947, DANRE22948, DANRE23679, DANRE36635, DANRE23678, DANRE13768	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	DANRE18427, DANRE00904, DANRE07242, DANRE11523, DANRE11522, DANRE13324, DANRE35076	YEAST01712
OG0001434	DANRE17875, DANRE17874	YEAST03991
OG0001437	DANRE23774, DANRE23773, DANRE27147, DANRE27146	YEAST01264, YEAST02900
OG0001437	DANRE27148	YEAST05391
OG0001445	DANRE16745, DANRE13125, DANRE13126	YEAST01715
OG0001449	DANRE18461, DANRE18463, DANRE18462, DANRE18464	YEAST03188
OG0001449	DANRE42606, DANRE42607	YEAST05764
OG0001452	DANRE34754, DANRE34755, DANRE38979, DANRE10641	YEAST05900
OG0001454	DANRE20582, DANRE11448, DANRE11449, DANRE11450	YEAST01495, YEAST00573
OG0001456	DANRE26746, DANRE26745	YEAST00365
OG0001459	DANRE31312, DANRE29490, DANRE29489, DANRE29488, DANRE31314, DANRE31313	YEAST03073, YEAST03464
OG0001461	DANRE25864, DANRE25863, DANRE25865	YEAST05255
OG0001468	DANRE42652, DANRE24222, DANRE24223, DANRE24224, DANRE24225, DANRE24221, DANRE24220, DANRE26893, DANRE26890, DANRE23005	YEAST03875, YEAST03904
OG0001469	DANRE40614	YEAST02070
OG0001469	DANRE08993	YEAST02765
OG0001470	DANRE08434, DANRE01224, DANRE01223, DANRE01225, DANRE08432, DANRE08433	YEAST00369, YEAST05375
OG0001472	DANRE09652, DANRE22287	YEAST03031
OG0001473	DANRE29311	YEAST05711
OG0001474	DANRE42186, DANRE42187, DANRE03668	YEAST01416, YEAST05312
OG0001478	DANRE18721, DANRE18720, DANRE18719	YEAST01984
OG0001478	DANRE03641	YEAST02078
OG0001479	DANRE22330, DANRE22329, DANRE30265, DANRE34077, DANRE19450, DANRE19449	YEAST01132
OG0001503	DANRE01872	YEAST03032
OG0001503	DANRE28515, DANRE28514	YEAST02920
OG0001504	DANRE22645, DANRE22646	YEAST05406
OG0001505	DANRE24459, DANRE24460, DANRE24458, DANRE27105, DANRE27106	YEAST03361
OG0001508	DANRE38231, DANRE38230, DANRE38232, DANRE13183, DANRE29484, DANRE29485	YEAST04143
OG0001515	DANRE35061, DANRE35063, DANRE33905	YEAST03320
OG0001515	DANRE35062, DANRE33906	YEAST03569
OG0001520	DANRE14989, DANRE14988, DANRE17477, DANRE17478, DANRE17480, DANRE17479	YEAST03872
OG0001524	DANRE05747, DANRE39017, DANRE12804	YEAST03912
OG0001525	DANRE38707	YEAST00757
OG0001527	DANRE40605, DANRE35014, DANRE09760, DANRE09759	YEAST01395
OG0001529	DANRE36607, DANRE36723, DANRE22259, DANRE22260	YEAST01143
OG0001530	DANRE05399, DANRE05398, DANRE05400, DANRE05401, DANRE34560, DANRE34561, DANRE34562	YEAST00643
OG0001546	DANRE11500, DANRE11502, DANRE11501, DANRE11499, DANRE04439, DANRE04438	YEAST03111
OG0001550	DANRE26888, DANRE26887, DANRE26889, DANRE24227, DANRE11424	YEAST02405, YEAST05953
OG0001551	DANRE12100, DANRE12099, DANRE18422, DANRE18424, DANRE18421, DANRE18423	YEAST04817
OG0001553	DANRE39596, DANRE39595, DANRE00133, DANRE04965, DANRE20535	YEAST05147, YEAST01586
OG0001557	DANRE37687, DANRE37688	YEAST04671
OG0001557	DANRE25710, DANRE25711	YEAST04551
OG0001558	DANRE19439, DANRE19440, DANRE19438, DANRE33921, DANRE33920, DANRE16554, DANRE16556	YEAST04449
OG0001559	DANRE08997, DANRE05634, DANRE05635, DANRE18362, DANRE18361, DANRE00902	YEAST00445, YEAST02434
OG0001561	DANRE41304, DANRE41305, DANRE39816, DANRE02440, DANRE25915, DANRE31611	YEAST06176
OG0001564	DANRE36281, DANRE36280, DANRE08942, DANRE08944, DANRE08941, DANRE08945, DANRE08943, DANRE06929, DANRE06930	YEAST05390
OG0001570	DANRE07850, DANRE07849	YEAST04678
OG0001573	DANRE24556, DANRE24557, DANRE24555, DANRE00159, DANRE00158	YEAST03285
OG0001578	DANRE41163	YEAST01872
OG0001580	DANRE22288, DANRE26125, DANRE26128, DANRE26124, DANRE26129, DANRE26127, DANRE12171, DANRE12170, DANRE26126	YEAST06270
OG0001590	DANRE38393, DANRE38392	YEAST03476, YEAST00717, YEAST03955
OG0001594	DANRE00835	YEAST03418
OG0001597	DANRE14881, DANRE25200, DANRE25198, DANRE25199, DANRE25197, DANRE25201	YEAST01702
OG0001603	DANRE14582, DANRE09232	YEAST02584
OG0001604	DANRE38746, DANRE07901, DANRE07902	YEAST01428
OG0001605	DANRE37473, DANRE28391, DANRE12806, DANRE02340, DANRE10148, DANRE10146, DANRE10145, DANRE10147	YEAST04101
OG0001609	DANRE35730, DANRE02201	YEAST02739
OG0001610	DANRE11392, DANRE11391, DANRE40973, DANRE40974, DANRE10644, DANRE14143, DANRE14144	YEAST00596, YEAST02062
OG0001612	DANRE42404, DANRE42402, DANRE42403, DANRE10050	YEAST01109
OG0001628	DANRE04668, DANRE04667, DANRE33716	YEAST04790
OG0001653	DANRE33414, DANRE01185, DANRE01184	YEAST01151
OG0001655	DANRE37499, DANRE37500, DANRE37498, DANRE37497, DANRE02917, DANRE38012, DANRE20101, DANRE20102, DANRE20103	YEAST03354
OG0001657	DANRE33903, DANRE16790, DANRE00304, DANRE00303, DANRE33902, DANRE16788, DANRE16789	YEAST00101, YEAST00944
OG0001663	DANRE25847, DANRE25848, DANRE30753, DANRE30752, DANRE40330, DANRE40329, DANRE40440, DANRE36598	YEAST05642
OG0001676	DANRE04978	YEAST02848
OG0001676	DANRE28348, DANRE28347	YEAST06155
OG0001680	DANRE03778, DANRE17562, DANRE11725, DANRE07835, DANRE13441, DANRE37802	YEAST01119, YEAST04022
OG0001685	DANRE15894, DANRE15893, DANRE06018	YEAST01147
OG0001687	DANRE04622	YEAST05279
OG0001691	DANRE03833, DANRE40915, DANRE40918, DANRE40919, DANRE40916, DANRE40917	YEAST01315
OG0001704	DANRE36568, DANRE36566, DANRE36565, DANRE36567	YEAST01293
OG0001706	DANRE20185, DANRE20183, DANRE20182, DANRE38154, DANRE38156, DANRE38153, DANRE38155, DANRE33839, DANRE38152, DANRE38151	YEAST03424
OG0001707	DANRE26662	YEAST06049, YEAST00407, YEAST04739
OG0001708	DANRE10037, DANRE24243, DANRE33359, DANRE06779	YEAST05744, YEAST05745
OG0001709	DANRE20434, DANRE20433, DANRE07634, DANRE07630, DANRE07631, DANRE07635, DANRE07633	YEAST04440
OG0001713	DANRE07425, DANRE26203	YEAST04039
OG0001718	DANRE17811, DANRE17810, DANRE11023, DANRE11024, DANRE11025, DANRE11962, DANRE11963	YEAST01537
OG0001721	DANRE42265, DANRE17694, DANRE17693, DANRE12002, DANRE11490, DANRE11491	YEAST04881, YEAST05253, YEAST00698
OG0001723	DANRE06882, DANRE06883, DANRE00862, DANRE00863, DANRE36498, DANRE36499, DANRE36500	YEAST01435
OG0001727	DANRE07810, DANRE11511, DANRE02954, DANRE02955	YEAST04543
OG0001728	DANRE13221, DANRE13224, DANRE13222, DANRE13223, DANRE43129	YEAST03347
OG0001730	DANRE40001, DANRE40000, DANRE28316, DANRE21475, DANRE21473, DANRE21474	YEAST00177
OG0001739	DANRE38417, DANRE30661, DANRE30662, DANRE38419, DANRE38418, DANRE38416, DANRE25764, DANRE25763	YEAST03760
OG0001745	DANRE09058, DANRE18517, DANRE18516	YEAST01431
OG0001750	DANRE04183, DANRE27947, DANRE27946, DANRE27945, DANRE41344, DANRE41343, DANRE41345, DANRE37085, DANRE37084, DANRE42061, DANRE42060	YEAST03628
OG0001754	DANRE43123, DANRE43122, DANRE10044, DANRE10045, DANRE10043, DANRE10042, DANRE42456, DANRE33390	YEAST03682
OG0001755	DANRE19818	YEAST05131
OG0001756	DANRE16138, DANRE39599, DANRE39598	YEAST00620
OG0001769	DANRE03973, DANRE03974, DANRE05499, DANRE05498	YEAST04726
OG0001770	DANRE42924, DANRE33844, DANRE06066, DANRE16806, DANRE16805	YEAST02590
OG0001774	DANRE19499, DANRE23023, DANRE23024, DANRE23025	YEAST05166
OG0001775	DANRE21680, DANRE21679, DANRE21681, DANRE21683, DANRE21684, DANRE28352, DANRE28351, DANRE34596	YEAST05594
OG0001780	DANRE33899, DANRE05361, DANRE05360	YEAST03768
OG0001781	DANRE03858, DANRE03859, DANRE08607	YEAST01882
OG0001782	DANRE43084, DANRE43085, DANRE03341	YEAST02421
OG0001785	DANRE42337, DANRE42334, DANRE42335, DANRE42336	YEAST02713
OG0001787	DANRE42517, DANRE42516, DANRE43271, DANRE18470, DANRE18471, DANRE11456, DANRE11455	YEAST03546
OG0001792	DANRE19107, DANRE19106	YEAST04331
OG0001792	DANRE28329, DANRE28330	YEAST04595
OG0001793	DANRE10214, DANRE01272, DANRE01271	YEAST02466
OG0001805	DANRE30715, DANRE30716, DANRE37701, DANRE37700, DANRE37699	YEAST05496, YEAST01242
OG0001807	DANRE29039, DANRE29040, DANRE29041, DANRE29038	YEAST05464
OG0001808	DANRE33470, DANRE33469, DANRE36362	YEAST01298
OG0001818	DANRE18933, DANRE18932, DANRE18934, DANRE18839	YEAST05902, YEAST04712
OG0001822	DANRE31080, DANRE31079, DANRE31081, DANRE02365, DANRE25468	YEAST04378, YEAST01659
OG0001826	DANRE08839, DANRE28074, DANRE28073, DANRE06753, DANRE33831	YEAST04777, YEAST01697, YEAST05781
OG0001828	DANRE10135, DANRE10134	YEAST04676
OG0001829	DANRE39018, DANRE38303, DANRE38304, DANRE12813, DANRE12812	YEAST01613, YEAST00136, YEAST02008
OG0001831	DANRE24742, DANRE36143, DANRE36142, DANRE29377, DANRE29378, DANRE29379	YEAST00024
OG0001832	DANRE19216, DANRE09900, DANRE25603	YEAST05376
OG0001846	DANRE18641, DANRE22671, DANRE41115	YEAST05067
OG0001850	DANRE18469, DANRE11472, DANRE11471, DANRE18468	YEAST01913
OG0001852	DANRE39778, DANRE39777, DANRE39776, DANRE36720, DANRE43025	YEAST03121
OG0001853	DANRE13586, DANRE09954, DANRE40540	YEAST05176
OG0001857	DANRE18584, DANRE11645, DANRE11644, DANRE27912, DANRE27913	YEAST04741
OG0001860	DANRE29619, DANRE29620, DANRE29621, DANRE29618, DANRE29617	YEAST00188
OG0001861	DANRE05974, DANRE11713, DANRE17627	YEAST05779, YEAST04773
OG0001863	DANRE27200, DANRE27198, DANRE27199, DANRE09225, DANRE09224	YEAST03017
OG0001866	DANRE00861, DANRE00860	YEAST05095, YEAST05570
OG0001867	DANRE28844, DANRE28845, DANRE29867, DANRE03121	YEAST01669
OG0001873	DANRE05973	YEAST00981, YEAST00267
OG0001875	DANRE16114, DANRE16113, DANRE04849, DANRE04848, DANRE04850	YEAST04137
OG0001877	DANRE11860, DANRE11861, DANRE05877, DANRE30847	YEAST04134
OG0001886	DANRE34276, DANRE36220, DANRE36219, DANRE36221, DANRE36213, DANRE36208, DANRE36223, DANRE36214, DANRE36222, DANRE36211, DANRE36218, DANRE36209, DANRE36216, DANRE36224, DANRE36210, DANRE36212, DANRE36217	YEAST03260
OG0001888	DANRE35420, DANRE29103, DANRE34736, DANRE34735	YEAST05749, YEAST01573
OG0001893	DANRE08624, DANRE08626, DANRE08623, DANRE08622, DANRE08625, DANRE08612, DANRE08614, DANRE08613, DANRE08610, DANRE08611, DANRE08609, DANRE08608, DANRE14293, DANRE14292, DANRE08621	YEAST01023
OG0001894	DANRE20451, DANRE20449, DANRE20450, DANRE16625, DANRE16624, DANRE11189	YEAST00433
OG0001899	DANRE18959, DANRE18958, DANRE07246, DANRE07247	YEAST01210, YEAST04466
OG0001900	DANRE13176	YEAST00581
OG0001903	DANRE08071, DANRE08070, DANRE04770, DANRE04771	YEAST06020
OG0001913	DANRE38969, DANRE19628, DANRE25181, DANRE25180, DANRE38968	YEAST05520
OG0001915	DANRE33865, DANRE24359, DANRE24360	YEAST04791
OG0001917	DANRE17670, DANRE28708, DANRE16749, DANRE16750, DANRE33250, DANRE28327	YEAST01859
OG0001923	DANRE36429, DANRE35425, DANRE35424, DANRE14251	YEAST05881
OG0001926	DANRE02186, DANRE02185, DANRE02184	YEAST02948
OG0001932	DANRE23835, DANRE27081, DANRE27080, DANRE16160, DANRE16159	YEAST03770, YEAST03179
OG0001934	DANRE24835, DANRE24838, DANRE24834, DANRE24837, DANRE16907	YEAST00877
OG0001935	DANRE16831, DANRE16639	YEAST00431
OG0001938	DANRE25410, DANRE25409, DANRE25408, DANRE25407	YEAST03931
OG0001940	DANRE06578	YEAST04188, YEAST05646
OG0001943	DANRE23971, DANRE23969, DANRE23970	YEAST02393, YEAST05966
OG0001945	DANRE42282, DANRE42281, DANRE21983, DANRE17286, DANRE17285, DANRE11703, DANRE42283	YEAST01671
OG0001947	DANRE02211, DANRE02212, DANRE36701, DANRE36700, DANRE43409, DANRE31200	YEAST02570
OG0001951	DANRE39716, DANRE39717, DANRE21110, DANRE13500, DANRE10211	YEAST00941, YEAST05396
OG0001952	DANRE11414, DANRE11413	YEAST04673, YEAST01990, YEAST00155
OG0001965	DANRE02932, DANRE43361, DANRE43360	YEAST04582
OG0001968	DANRE03920, DANRE03918, DANRE03921, DANRE03919, DANRE36674	YEAST04910
OG0001969	DANRE00222, DANRE27645, DANRE27644, DANRE01900, DANRE01899, DANRE01898	YEAST06173
OG0001972	DANRE27665, DANRE27664, DANRE27663, DANRE41264, DANRE41265, DANRE41266	YEAST01822, YEAST03363
OG0001985	DANRE07941, DANRE01529, DANRE35223, DANRE35224, DANRE07938, DANRE07940, DANRE07939	YEAST04959
OG0001992	DANRE11762, DANRE04530, DANRE04529, DANRE11763	YEAST02679
OG0001998	DANRE06555, DANRE03893, DANRE03894, DANRE03896, DANRE03895, DANRE03892, DANRE03891	YEAST00890
OG0002001	DANRE37098, DANRE37097, DANRE30004, DANRE30006, DANRE30005	YEAST00502, YEAST03944
OG0002003	DANRE08375, DANRE08376, DANRE08373, DANRE08374	YEAST02826, YEAST03671
OG0002008	DANRE04354, DANRE04353, DANRE04352, DANRE00171, DANRE00170	YEAST00768
OG0002010	DANRE29433, DANRE16540, DANRE29817, DANRE29814, DANRE29816, DANRE29813, DANRE29815, DANRE36154, DANRE36155, DANRE36156	YEAST00609
OG0002013	DANRE38189, DANRE38190, DANRE38191, DANRE00753	YEAST03040
OG0002014	DANRE40407, DANRE02695, DANRE02696, DANRE02259, DANRE30741, DANRE30742, DANRE02260	YEAST02422
OG0002015	DANRE29469, DANRE29470	YEAST05525
OG0002025	DANRE01978, DANRE01981, DANRE02045, DANRE02039, DANRE02043, DANRE02041, DANRE01984, DANRE02050, DANRE02061, DANRE42193, DANRE42198, DANRE42200, DANRE02058, DANRE02031, DANRE02042, DANRE01987, DANRE01986, DANRE01989, DANRE02048, DANRE02052, DANRE29840, DANRE29838	YEAST03650
OG0002026	DANRE06615, DANRE06616, DANRE35735, DANRE35734, DANRE35733	YEAST01247
OG0002029	DANRE16054, DANRE41634	YEAST02646
OG0002031	DANRE29471, DANRE29473, DANRE29472, DANRE10345, DANRE10346	YEAST02752
OG0002032	DANRE07784, DANRE07783	YEAST01221
OG0002042	DANRE05112, DANRE05113, DANRE05110	YEAST02880
OG0002043	DANRE15042, DANRE15043, DANRE15044, DANRE39208, DANRE39209	YEAST04003
OG0002048	DANRE07469, DANRE28513, DANRE17075, DANRE17076, DANRE10824, DANRE10823, DANRE10821, DANRE10822, DANRE10852, DANRE10851, DANRE10850, DANRE10825, DANRE10746, DANRE10747, DANRE10745, DANRE10744, DANRE39705	YEAST02273
OG0002059	DANRE26625, DANRE26626, DANRE16517, DANRE16518, DANRE36305, DANRE36306	YEAST05893, YEAST04718
OG0002062	DANRE25165, DANRE38918, DANRE38919, DANRE39950	YEAST05454
OG0002063	DANRE26693, DANRE34874, DANRE00278	YEAST00838
OG0002067	DANRE29442	YEAST03444
OG0002069	DANRE02387, DANRE02386, DANRE22653, DANRE22652, DANRE09973, DANRE09971, DANRE09972	YEAST05962
OG0002073	DANRE16867, DANRE04897, DANRE04896, DANRE04895	YEAST04552
OG0002076	DANRE36584, DANRE14308, DANRE14307, DANRE10308	YEAST02206
OG0002078	DANRE30342, DANRE30343, DANRE03576, DANRE03575	YEAST06232
OG0002079	DANRE16795, DANRE33739, DANRE33738, DANRE33737	YEAST05765, YEAST00483
OG0002080	DANRE33657, DANRE33658, DANRE34948, DANRE34947	YEAST05220, YEAST04736
OG0002084	DANRE03314, DANRE03315, DANRE11161, DANRE38145	YEAST04529
OG0002087	DANRE19222	YEAST05702
OG0002090	DANRE30480	YEAST02246
OG0002093	DANRE40403, DANRE40402, DANRE40401, DANRE02687, DANRE02684, DANRE02685, DANRE02686, DANRE02683	YEAST02255
OG0002097	DANRE13376, DANRE13374, DANRE13375, DANRE26577, DANRE20395, DANRE24383, DANRE24384	YEAST02697
OG0002101	DANRE15987	YEAST03902
OG0002103	DANRE06299, DANRE19955, DANRE06300	YEAST05974
OG0002106	DANRE17857, DANRE13872	YEAST03654
OG0002108	DANRE05256, DANRE17432, DANRE17433, DANRE17434, DANRE17435, DANRE17437	YEAST03715
OG0002123	DANRE10083, DANRE10080, DANRE10082, DANRE10081, DANRE27250, DANRE22514	YEAST03709
OG0002125	DANRE39735, DANRE25120, DANRE25119, DANRE25121, DANRE39736	YEAST05183
OG0002131	DANRE34723, DANRE34719, DANRE34341, DANRE34342	YEAST04275
OG0002137	DANRE04650, DANRE13016, DANRE13015	YEAST04320
OG0002138	DANRE31593, DANRE31594	YEAST02406
OG0002144	DANRE28933, DANRE28934, DANRE34604	YEAST02673
OG0002146	DANRE31398, DANRE31399, DANRE31396, DANRE12431, DANRE40465, DANRE40464	YEAST04333, YEAST00109, YEAST03088, YEAST04454
OG0002147	DANRE09292, DANRE09293, DANRE09294, DANRE26428, DANRE36327, DANRE36326	YEAST04532, YEAST01219
OG0002148	DANRE18045, DANRE03752	YEAST02060
OG0002152	DANRE30684, DANRE12589, DANRE12588, DANRE12587, DANRE22375, DANRE36983, DANRE12586, DANRE30685	YEAST05624
OG0002156	DANRE16294	YEAST03007
OG0002160	DANRE22821, DANRE22820	YEAST03960
OG0002165	DANRE43103, DANRE06070, DANRE06069	YEAST04504
OG0002168	DANRE14915, DANRE14916, DANRE01851, DANRE01853, DANRE01850, DANRE01852	YEAST00516
OG0002169	DANRE38142, DANRE38141, DANRE03316, DANRE38144, DANRE03317, DANRE38143	YEAST02258
OG0002175	DANRE19425, DANRE39612, DANRE40442	YEAST04956
OG0002184	DANRE34335, DANRE16850, DANRE29092	YEAST00242
OG0002185	DANRE25404, DANRE25405	YEAST05212
OG0002188	DANRE15351	YEAST04638, YEAST03913
OG0002189	DANRE26778	YEAST02882, YEAST04447
OG0002213	DANRE11267, DANRE11268, DANRE11266	YEAST01241, YEAST05495
OG0002216	DANRE31447	YEAST06040
OG0002217	DANRE18658, DANRE18656, DANRE18657	YEAST06033
OG0002222	DANRE03714, DANRE03713, DANRE36238, DANRE36237	YEAST03240
OG0002224	DANRE05330, DANRE40991, DANRE40989, DANRE40990, DANRE01568	YEAST01574
OG0002225	DANRE13436, DANRE13437, DANRE13435, DANRE06828, DANRE06829	YEAST04939
OG0002226	DANRE16944, DANRE16945, DANRE16942, DANRE30127, DANRE30126, DANRE26719, DANRE26718, DANRE24520, DANRE16943	YEAST00948
OG0002228	DANRE43090, DANRE10014, DANRE10015	YEAST04154, YEAST05632
OG0002233	DANRE35671	YEAST00277
OG0002239	DANRE12168, DANRE08987	YEAST03509
OG0002239	DANRE34713, DANRE34712, DANRE34714, DANRE34715	YEAST01621
OG0002241	DANRE33267, DANRE13580, DANRE33268	YEAST02005
OG0002243	DANRE20144, DANRE41158	YEAST04599, YEAST03601, YEAST04600
OG0002244	DANRE34365, DANRE34366, DANRE34364	YEAST02768
OG0002252	DANRE30454, DANRE30455, DANRE29416, DANRE29414, DANRE29415	YEAST00826
OG0002261	DANRE30021, DANRE29869, DANRE29868, DANRE30020	YEAST00472
OG0002264	DANRE07009, DANRE07008, DANRE09035	YEAST01705
OG0002279	DANRE42242, DANRE27826	YEAST05800
OG0002282	DANRE16515, DANRE16514, DANRE28648, DANRE14580, DANRE16516	YEAST00881
OG0002288	DANRE06055, DANRE20574, DANRE20573	YEAST01591, YEAST05154
OG0002292	DANRE35908	YEAST00152
OG0002297	DANRE35527, DANRE35528	YEAST01217
OG0002312	DANRE20428, DANRE07389, DANRE07387, DANRE07391, DANRE07390, DANRE07388	YEAST06295
OG0002316	DANRE14670, DANRE02069, DANRE02071, DANRE02072, DANRE02070	YEAST01805
OG0002318	DANRE28853, DANRE28854	YEAST02923
OG0002319	DANRE42909, DANRE01930, DANRE01931, DANRE01932, DANRE26532	YEAST00329
OG0002321	DANRE16380	YEAST02461
OG0002324	DANRE14539	YEAST02615, YEAST06287
OG0002326	DANRE11982, DANRE11981, DANRE18035, DANRE17969	YEAST00310, YEAST02699
OG0002327	DANRE22842, DANRE22841, DANRE02715	YEAST00346, YEAST06217
OG0002331	DANRE14402, DANRE14401	YEAST01653
OG0002332	DANRE34536, DANRE34537, DANRE41108, DANRE41107, DANRE01408, DANRE01409	YEAST01606, YEAST05184, YEAST00285
OG0002341	DANRE20381, DANRE20379, DANRE20378, DANRE20380, DANRE20377, DANRE20376	YEAST03640, YEAST04562
OG0002344	DANRE07882, DANRE34183, DANRE34182, DANRE19431	YEAST02312, YEAST02019
OG0002346	DANRE33236, DANRE33235, DANRE13335, DANRE13334	YEAST02012
OG0002348	DANRE10939, DANRE00806	YEAST01845
OG0002355	DANRE06303, DANRE16341, DANRE16342, DANRE06475	YEAST00016
OG0002356	DANRE31051, DANRE12469, DANRE12468, DANRE29615, DANRE29616	YEAST00259
OG0002361	DANRE05566, DANRE17466, DANRE11141	YEAST01027
OG0002367	DANRE21483, DANRE34909	YEAST01179
OG0002369	DANRE10691, DANRE10692	YEAST03766
OG0002374	DANRE24917, DANRE28397, DANRE36862	YEAST02010, YEAST00133
OG0002377	DANRE18217, DANRE18218, DANRE18216, DANRE04390, DANRE04389	YEAST05000
OG0002385	DANRE29842, DANRE29841, DANRE28561, DANRE28560, DANRE28554, DANRE28555, DANRE03634, DANRE36152, DANRE36153, DANRE29812	YEAST03974
OG0002406	DANRE23476, DANRE01772, DANRE23473, DANRE23475, DANRE23474, DANRE01770	YEAST05509
OG0002407	DANRE05096, DANRE05097, DANRE03785	YEAST00012
OG0002409	DANRE23061, DANRE31062, DANRE43320, DANRE43319	YEAST02027
OG0002411	DANRE38371, DANRE13902	YEAST05950, YEAST02407
OG0002412	DANRE25099	YEAST06171
OG0002413	DANRE30178, DANRE30179, DANRE30177, DANRE30180	YEAST01196
OG0002415	DANRE05251, DANRE05250	YEAST01271
OG0002421	DANRE24979, DANRE24978, DANRE38877, DANRE38875, DANRE38878, DANRE38876	YEAST02982
OG0002422	DANRE07168, DANRE07169, DANRE07170, DANRE07166	YEAST05026
OG0002426	DANRE03071, DANRE29062, DANRE28444, DANRE28456	YEAST00184
OG0002441	DANRE18192, DANRE18191, DANRE20092, DANRE20093, DANRE20091, DANRE20094, DANRE20090, DANRE18193	YEAST00068, YEAST02278, YEAST05821
OG0002442	DANRE05982, DANRE37141, DANRE37140, DANRE05983	YEAST05932
OG0002443	DANRE24994, DANRE24993, DANRE24992	YEAST04906
OG0002446	DANRE29262, DANRE29263	YEAST04254
OG0002448	DANRE05209	YEAST00626
OG0002450	DANRE10330, DANRE14502, DANRE34843	YEAST04575
OG0002453	DANRE19771, DANRE19770	YEAST00512
OG0002476	DANRE12706, DANRE21895, DANRE12704, DANRE12705	YEAST05799
OG0002486	DANRE40075, DANRE40078, DANRE40077, DANRE40076, DANRE26356	YEAST01433
OG0002492	DANRE22193, DANRE22192, DANRE22194	YEAST01624
OG0002494	DANRE24650, DANRE01719	YEAST02402
OG0002495	DANRE42688	YEAST02772
OG0002497	DANRE29032, DANRE29031, DANRE14380	YEAST02747
OG0002500	DANRE28865	YEAST05648
OG0002505	DANRE03563, DANRE03564	YEAST02959
OG0002510	DANRE07592, DANRE07591	YEAST04753
OG0002516	DANRE08131, DANRE34987	YEAST00066
OG0002518	DANRE02842, DANRE02843	YEAST02890
OG0002520	DANRE06700, DANRE06697, DANRE06696, DANRE06699, DANRE06698, DANRE23643, DANRE23644, DANRE23642, DANRE23645, DANRE15997	YEAST05256
OG0002523	DANRE01637, DANRE01636, DANRE01639, DANRE01635, DANRE01638, DANRE31095, DANRE31097	YEAST06234
OG0002527	DANRE18271, DANRE18272, DANRE18270, DANRE26864, DANRE26865, DANRE40881, DANRE40882, DANRE34220, DANRE34219, DANRE34221	YEAST01639
