Orthogroup	YEAST	ASTMX
OG0002097	YEAST02697	ASTMX09200, ASTMX06450, ASTMX12192, ASTMX07933
OG0002103	YEAST05974	ASTMX03950, ASTMX04643
OG0002106	YEAST03654	ASTMX03785, ASTMX08724
OG0002108	YEAST03715	ASTMX07612, ASTMX01236
OG0002123	YEAST03709	ASTMX07485, ASTMX11736, ASTMX06688
OG0002125	YEAST05183	ASTMX04029, ASTMX02181
OG0002131	YEAST04275	ASTMX11268, ASTMX11269, ASTMX11344
OG0002137	YEAST04320	ASTMX02787, ASTMX18215
OG0002138	YEAST02406	ASTMX02006
OG0002144	YEAST02673	ASTMX17084, ASTMX17508, ASTMX19379
OG0002146	YEAST04333, YEAST00109, YEAST03088, YEAST04454	ASTMX03073, ASTMX07185
OG0002147	YEAST04532, YEAST01219	ASTMX06786, ASTMX15556, ASTMX15557, ASTMX18212
OG0002148	YEAST02060	ASTMX15638, ASTMX01497
OG0002152	YEAST05624	ASTMX16305, ASTMX07269, ASTMX15710
OG0002160	YEAST03960	ASTMX06371
OG0002165	YEAST04504	ASTMX00308, ASTMX00309
OG0002168	YEAST00516	ASTMX12023, ASTMX02930
OG0002169	YEAST02258	ASTMX05633, ASTMX10425
OG0002175	YEAST04956	ASTMX16015, ASTMX13462, ASTMX08875
OG0002184	YEAST00242	ASTMX12387, ASTMX21486, ASTMX13143, ASTMX22891
OG0002185	YEAST05212	ASTMX18245, ASTMX18246
OG0002188	YEAST04638, YEAST03913	ASTMX17006
OG0002189	YEAST02882, YEAST04447	ASTMX16380
OG0002213	YEAST01241, YEAST05495	ASTMX03206
OG0002216	YEAST06040	ASTMX19790
OG0002217	YEAST06033	ASTMX14103
OG0002222	YEAST03240	ASTMX13836, ASTMX08751
OG0002224	YEAST01574	ASTMX06613, ASTMX14452, ASTMX05934
OG0002225	YEAST04939	ASTMX13928, ASTMX11814
OG0002226	YEAST00948	ASTMX18469, ASTMX14158, ASTMX20902
OG0002228	YEAST04154, YEAST05632	ASTMX19431, ASTMX07841, ASTMX09065
OG0002233	YEAST00277	ASTMX05462
OG0002239	YEAST03509	ASTMX09078
OG0002239	YEAST01621	ASTMX07073, ASTMX12092
OG0002241	YEAST02005	ASTMX06900, ASTMX17127
OG0002243	YEAST04599, YEAST03601, YEAST04600	ASTMX03972, ASTMX17560
OG0002244	YEAST02768	ASTMX18150
OG0002252	YEAST00826	ASTMX21582, ASTMX03620
OG0002261	YEAST00472	ASTMX04970, ASTMX16399, ASTMX04971
OG0002264	YEAST01705	ASTMX08822, ASTMX05769
OG0002279	YEAST05800	ASTMX12963, ASTMX16291
OG0002282	YEAST00881	ASTMX08568, ASTMX14313, ASTMX15818
OG0002288	YEAST01591, YEAST05154	ASTMX11634, ASTMX21727
OG0002292	YEAST00152	ASTMX22948
OG0002297	YEAST01217	ASTMX00496
OG0002312	YEAST06295	ASTMX12587, ASTMX21965, ASTMX04630, ASTMX21964
OG0002316	YEAST01805	ASTMX00832, ASTMX02882
OG0002318	YEAST02923	ASTMX22370
OG0002319	YEAST00329	ASTMX00007, ASTMX18446, ASTMX06513
OG0002321	YEAST02461	ASTMX21752
OG0002326	YEAST00310, YEAST02699	ASTMX13675, ASTMX11144, ASTMX08928
OG0002327	YEAST00346, YEAST06217	ASTMX06358, ASTMX08394, ASTMX02108
OG0002331	YEAST01653	ASTMX11774, ASTMX13590, ASTMX22577
OG0002332	YEAST01606, YEAST05184, YEAST00285	ASTMX06962, ASTMX17558, ASTMX09977
OG0002341	YEAST03640, YEAST04562	ASTMX12201
OG0002344	YEAST02312, YEAST02019	ASTMX05861, ASTMX13295, ASTMX16011, ASTMX21984
OG0002346	YEAST02012	ASTMX14427, ASTMX21524
OG0002348	YEAST01845	ASTMX08116, ASTMX03720
OG0002355	YEAST00016	ASTMX01148, ASTMX08242, ASTMX20849
OG0002356	YEAST00259	ASTMX07148, ASTMX07355
OG0002361	YEAST01027	ASTMX04855
OG0002367	YEAST01179	ASTMX02846, ASTMX18373
OG0002369	YEAST03766	ASTMX12274
OG0002374	YEAST02010, YEAST00133	ASTMX21311, ASTMX18359, ASTMX00512
OG0002377	YEAST05000	ASTMX16584
OG0002385	YEAST03974	ASTMX19888, ASTMX21398, ASTMX19889, ASTMX07728, ASTMX18962, ASTMX11375, ASTMX18961
OG0002406	YEAST05509	ASTMX20656
OG0002407	YEAST00012	ASTMX12131, ASTMX20210
OG0002409	YEAST02027	ASTMX07143, ASTMX19595, ASTMX16991, ASTMX09222
OG0002411	YEAST05950, YEAST02407	ASTMX14297, ASTMX15378
OG0002412	YEAST06171	ASTMX02195
OG0002413	YEAST01196	ASTMX20536
OG0002415	YEAST01271	ASTMX07615
OG0002421	YEAST02982	ASTMX15153, ASTMX14700
OG0002422	YEAST05026	ASTMX04519
OG0002426	YEAST00184	ASTMX11681, ASTMX21194, ASTMX19607
OG0002441	YEAST00068, YEAST02278, YEAST05821	ASTMX09326, ASTMX10255
OG0002442	YEAST05932	ASTMX11614, ASTMX03388
OG0002443	YEAST04906	ASTMX15790, ASTMX15145
OG0002446	YEAST04254	ASTMX21226
OG0002448	YEAST00626	ASTMX07637
OG0002450	YEAST04575	ASTMX06804, ASTMX09847, ASTMX03358
OG0002453	YEAST00512	ASTMX06099
OG0002476	YEAST05799	ASTMX06243
OG0002486	YEAST01433	ASTMX18070, ASTMX15061
OG0002492	YEAST01624	ASTMX11151
OG0002494	YEAST02402	ASTMX05312
OG0002495	YEAST02772	ASTMX00658
OG0002497	YEAST02747	ASTMX10180, ASTMX20439
OG0002500	YEAST05648	ASTMX22152
OG0002505	YEAST02959	ASTMX07686
OG0002510	YEAST04753	ASTMX08039
OG0002516	YEAST00066	ASTMX03483, ASTMX12357
OG0002518	YEAST02890	ASTMX00752
OG0002520	YEAST05256	ASTMX04728, ASTMX19586
OG0002523	YEAST06234	ASTMX14276, ASTMX12607, ASTMX01778
OG0002527	YEAST01639	ASTMX20817, ASTMX03116, ASTMX14442, ASTMX15761
OG0002528	YEAST00372	ASTMX18959, ASTMX00274
OG0002530	YEAST05530, YEAST03790	ASTMX13631, ASTMX03600, ASTMX02168
OG0002532	YEAST03235	ASTMX21406
OG0002533	YEAST04525	ASTMX04394, ASTMX13039, ASTMX05099
OG0002543	YEAST00527	ASTMX07787
OG0002557	YEAST06243	ASTMX10062, ASTMX08730, ASTMX10061, ASTMX01948
OG0002561	YEAST04438, YEAST02106	ASTMX05589
OG0002562	YEAST03992	ASTMX14920, ASTMX03986
OG0002564	YEAST02186	ASTMX16398, ASTMX04969
OG0002565	YEAST04224, YEAST02499	ASTMX04798, ASTMX12769
OG0002570	YEAST00592	ASTMX17442
OG0002574	YEAST05657	ASTMX01572, ASTMX08092
OG0002594	YEAST06174	ASTMX18794, ASTMX10058
OG0002598	YEAST04621, YEAST03577	ASTMX05485, ASTMX06467, ASTMX21419
OG0002605	YEAST06332	ASTMX03103, ASTMX22634, ASTMX15597
OG0002608	YEAST03716, YEAST02846	ASTMX00356, ASTMX19264
OG0002609	YEAST01355	ASTMX21088, ASTMX06939, ASTMX12865
OG0002610	YEAST01078, YEAST03973	ASTMX14985, ASTMX10225, ASTMX12835
OG0002612	YEAST03508	ASTMX08359
OG0002617	YEAST00866	ASTMX09319
OG0002618	YEAST06247	ASTMX04981
OG0002621	YEAST05551	ASTMX04243
OG0002629	YEAST05919	ASTMX13284, ASTMX07247, ASTMX21519
OG0002630	YEAST05202	ASTMX03861
OG0002632	YEAST02755	ASTMX02161, ASTMX22937
OG0002633	YEAST04206	ASTMX01695, ASTMX01694, ASTMX04611
OG0002636	YEAST01664, YEAST06215	ASTMX11502, ASTMX09064
OG0002643	YEAST01938	ASTMX21893
OG0002644	YEAST00724	ASTMX13304, ASTMX00022, ASTMX02694, ASTMX13303
OG0002645	YEAST01436	ASTMX04781
OG0002646	YEAST01946	ASTMX12608, ASTMX08291
OG0002651	YEAST02247, YEAST02868	ASTMX08506
OG0002652	YEAST04937	ASTMX01699
OG0002656	YEAST05701	ASTMX19898, ASTMX08662
OG0002659	YEAST06290	ASTMX18454
OG0002666	YEAST02507	ASTMX03616
OG0002668	YEAST02324	ASTMX20371
OG0002677	YEAST05210	ASTMX14169
OG0002681	YEAST04585	ASTMX03003, ASTMX02328, ASTMX17073, ASTMX04461
OG0002683	YEAST03676	ASTMX11605, ASTMX08909, ASTMX14049
OG0002705	YEAST00553	ASTMX02915, ASTMX10018
OG0002713	YEAST00413, YEAST06057	ASTMX02985
OG0002715	YEAST01174, YEAST04131	ASTMX00765, ASTMX00764
OG0002717	YEAST02430	ASTMX21276, ASTMX13320, ASTMX08790, ASTMX07859
OG0002718	YEAST03380, YEAST03502	ASTMX05708
OG0002720	YEAST01914	ASTMX21032
OG0002722	YEAST04059	ASTMX08478
OG0002726	YEAST02958	ASTMX18855, ASTMX10071, ASTMX01554
OG0002729	YEAST01155	ASTMX09796
OG0002739	YEAST01877	ASTMX12477
OG0002740	YEAST01658	ASTMX06589, ASTMX06588, ASTMX00890
OG0002742	YEAST03713	ASTMX03216, ASTMX07668, ASTMX17307
OG0002743	YEAST01824, YEAST03362	ASTMX05411
OG0002745	YEAST04244	ASTMX14166, ASTMX21096
OG0002746	YEAST04902, YEAST05332	ASTMX14540
OG0002747	YEAST05617	ASTMX08727, ASTMX04072
OG0002749	YEAST02810	ASTMX22060, ASTMX11896, ASTMX21829
OG0002750	YEAST04952	ASTMX04080, ASTMX04079
OG0002752	YEAST03686	ASTMX06175
OG0002753	YEAST03742	ASTMX00975, ASTMX15886
OG0002754	YEAST03620	ASTMX19457, ASTMX07407
OG0002756	YEAST04058	ASTMX05519
OG0002758	YEAST04409	ASTMX12158, ASTMX11719, ASTMX19020
OG0002760	YEAST01927	ASTMX14383, ASTMX00411, ASTMX00410
OG0002761	YEAST03261	ASTMX17257
OG0002763	YEAST00260	ASTMX01463
OG0002764	YEAST00423	ASTMX04804, ASTMX15857, ASTMX12772
OG0002765	YEAST01667, YEAST05523	ASTMX06827, ASTMX05311, ASTMX01712
OG0002766	YEAST05357	ASTMX12280
OG0002767	YEAST04591	ASTMX11219, ASTMX01625
OG0002771	YEAST02043	ASTMX05826, ASTMX08109
OG0002772	YEAST03384	ASTMX03981
OG0002773	YEAST03677	ASTMX08591
OG0002774	YEAST03575	ASTMX03990, ASTMX14302, ASTMX18349
OG0002775	YEAST03021	ASTMX12270, ASTMX12267, ASTMX17052
OG0002781	YEAST05450	ASTMX17246, ASTMX05300, ASTMX15463, ASTMX00089
OG0002782	YEAST02121	ASTMX02326, ASTMX10461, ASTMX13170, ASTMX05823
OG0002785	YEAST06106, YEAST01228	ASTMX02888, ASTMX12391
OG0002788	YEAST02578, YEAST01232	ASTMX02137
OG0002793	YEAST01371	ASTMX05593
OG0002799	YEAST01461	ASTMX09633, ASTMX07335
OG0002817	YEAST01189, YEAST04922	ASTMX08503, ASTMX11127
OG0002824	YEAST02137	ASTMX12647, ASTMX13765, ASTMX06667
OG0002826	YEAST00174	ASTMX14104, ASTMX08188, ASTMX13061, ASTMX18255
OG0002827	YEAST05976	ASTMX12910
OG0002828	YEAST00227, YEAST00963	ASTMX11283
OG0002831	YEAST03282	ASTMX07219
OG0002835	YEAST02656	ASTMX07497, ASTMX15221
OG0002837	YEAST01987, YEAST00157	ASTMX06183, ASTMX02695, ASTMX11101
OG0002839	YEAST03148	ASTMX10136
OG0002843	YEAST04737	ASTMX23062, ASTMX16351
OG0002844	YEAST05563	ASTMX09226, ASTMX16992
OG0002847	YEAST02294	ASTMX13450, ASTMX13451
OG0002851	YEAST04951	ASTMX04839, ASTMX03703, ASTMX14358, ASTMX04838
OG0002855	YEAST00137	ASTMX16184
OG0002860	YEAST02712	ASTMX03636
OG0002866	YEAST01136	ASTMX20659, ASTMX21913, ASTMX21912
OG0002876	YEAST02348	ASTMX00547, ASTMX12943
OG0002877	YEAST04537	ASTMX02938
OG0002883	YEAST03027	ASTMX12110
OG0002891	YEAST03205	ASTMX14161
OG0002893	YEAST03653	ASTMX04172
OG0002894	YEAST00906	ASTMX03268, ASTMX12100
OG0002895	YEAST01471, YEAST05353, YEAST05456	ASTMX12952, ASTMX14061, ASTMX05379
OG0002897	YEAST06308	ASTMX10736
OG0002899	YEAST00283	ASTMX06782, ASTMX18211
OG0002900	YEAST05306	ASTMX09021, ASTMX09858
OG0002907	YEAST02061	ASTMX10573, ASTMX09015
OG0002910	YEAST00223	ASTMX08537
OG0002915	YEAST02264	ASTMX10897, ASTMX15512
OG0002917	YEAST03703	ASTMX06336
OG0002921	YEAST06254	ASTMX17074
OG0002922	YEAST01261	ASTMX21382, ASTMX09964
OG0002947	YEAST00232	ASTMX13918
OG0002948	YEAST03584	ASTMX09230
OG0002949	YEAST00419, YEAST06063	ASTMX10636
OG0002952	YEAST05257	ASTMX11800, ASTMX03890
OG0002953	YEAST03034	ASTMX05287
OG0002957	YEAST03253	ASTMX16714
OG0002960	YEAST05502	ASTMX13796
OG0002965	YEAST03804	ASTMX02526
OG0002966	YEAST06059	ASTMX10395, ASTMX14585, ASTMX08283, ASTMX14584
OG0002968	YEAST00199	ASTMX08777, ASTMX16814
OG0002969	YEAST00655	ASTMX19487
OG0002982	YEAST02471	ASTMX12949
OG0002984	YEAST00961, YEAST01144	ASTMX09070
OG0002985	YEAST02147	ASTMX14851, ASTMX21191
OG0002987	YEAST02970, YEAST00081, YEAST02488	ASTMX04738, ASTMX16371
OG0002991	YEAST03345, YEAST01842	ASTMX02776
OG0002997	YEAST02374	ASTMX10330, ASTMX22739
OG0003001	YEAST01497	ASTMX15125, ASTMX00486
OG0003004	YEAST02183	ASTMX16526, ASTMX06062, ASTMX17299
OG0003006	YEAST00899	ASTMX20088, ASTMX15978, ASTMX15977, ASTMX19876
OG0003010	YEAST03035	ASTMX07751
OG0003012	YEAST04512	ASTMX10744, ASTMX09447, ASTMX17773, ASTMX18602
OG0003016	YEAST04810	ASTMX20183, ASTMX02288
OG0003017	YEAST02213	ASTMX20936, ASTMX18161
OG0003018	YEAST01635, YEAST01949	ASTMX09335
OG0003027	YEAST05498	ASTMX13439, ASTMX00386
OG0003028	YEAST05822	ASTMX04249
OG0003029	YEAST04523	ASTMX08718, ASTMX07235
OG0003033	YEAST02457, YEAST02640	ASTMX09542
OG0003039	YEAST00055	ASTMX18267, ASTMX03350, ASTMX05986, ASTMX05987
OG0003043	YEAST02551	ASTMX12456
OG0003046	YEAST01632	ASTMX01068, ASTMX01067, ASTMX21979
OG0003054	YEAST04909, YEAST05341	ASTMX00110, ASTMX09568, ASTMX09569
OG0003056	YEAST02257	ASTMX17403, ASTMX17405, ASTMX17404, ASTMX17406
OG0003059	YEAST02832, YEAST03675	ASTMX11573, ASTMX03262
OG0003063	YEAST00204	ASTMX16164
OG0003066	YEAST00969	ASTMX01076
OG0003067	YEAST01070	ASTMX19827
OG0003067	YEAST03159	ASTMX07627, ASTMX05938, ASTMX15668
OG0003072	YEAST05076	ASTMX08543, ASTMX14570, ASTMX08544, ASTMX14572
OG0003073	YEAST00167	ASTMX21813, ASTMX00976
OG0003079	YEAST01019	ASTMX08960, ASTMX02438
OG0003101	YEAST01357	ASTMX19919, ASTMX06150, ASTMX01755
OG0003104	YEAST00861	ASTMX09610, ASTMX11561, ASTMX09609
OG0003105	YEAST04282	ASTMX00325, ASTMX00326
OG0003106	YEAST03619	ASTMX06237
OG0003107	YEAST00029	ASTMX02590, ASTMX16600
OG0003108	YEAST00796	ASTMX05191
OG0003110	YEAST02197	ASTMX00133
OG0003114	YEAST00453, YEAST02426	ASTMX02715, ASTMX03943
OG0003119	YEAST00778	ASTMX06194, ASTMX21119
OG0003121	YEAST03190	ASTMX06230, ASTMX18167, ASTMX02445
OG0003126	YEAST00300	ASTMX14715
OG0003131	YEAST04435, YEAST04350	ASTMX13469
OG0003135	YEAST02069	ASTMX04429
OG0003138	YEAST01790, YEAST00784	ASTMX06553
OG0003145	YEAST06012	ASTMX16469, ASTMX16882
OG0003147	YEAST03729	ASTMX16613
OG0003151	YEAST03910	ASTMX11951, ASTMX21033, ASTMX05673
OG0003153	YEAST05438	ASTMX21330
OG0003154	YEAST00694	ASTMX06476
OG0003157	YEAST01203	ASTMX06118
OG0003164	YEAST05549, YEAST04492	ASTMX01170, ASTMX15907
OG0003169	YEAST04410	ASTMX07868
OG0003172	YEAST06030	ASTMX12697
OG0003174	YEAST06178	ASTMX07988
OG0003178	YEAST05823	ASTMX16511, ASTMX15240
OG0003179	YEAST00905	ASTMX22089
OG0003182	YEAST05565	ASTMX01957, ASTMX21704
OG0003189	YEAST00820	ASTMX03737
OG0003190	YEAST02550	ASTMX21768
OG0003191	YEAST01068	ASTMX00980, ASTMX19044
OG0003193	YEAST02494	ASTMX04173, ASTMX07557
OG0003197	YEAST06274	ASTMX08037
OG0003199	YEAST04961	ASTMX13735, ASTMX17609
OG0003207	YEAST04056	ASTMX00941, ASTMX16303
OG0003212	YEAST05531	ASTMX13329, ASTMX01976
OG0003214	YEAST03701	ASTMX08653
OG0003215	YEAST04373	ASTMX04892, ASTMX22130
OG0003218	YEAST04068	ASTMX15207
OG0003219	YEAST01656	ASTMX01631
OG0003220	YEAST03417, YEAST00186	ASTMX21037, ASTMX05784
OG0003221	YEAST05064	ASTMX04321, ASTMX04290
OG0003223	YEAST04472	ASTMX06346, ASTMX06347
OG0003228	YEAST06187	ASTMX10791, ASTMX02764
OG0003230	YEAST05487	ASTMX13387
OG0003234	YEAST00760	ASTMX11623
OG0003235	YEAST06282	ASTMX16993
OG0003251	YEAST05338, YEAST04904	ASTMX09724, ASTMX15809, ASTMX03540
OG0003254	YEAST03911	ASTMX04636, ASTMX03953
OG0003257	YEAST02741	ASTMX14786, ASTMX22306, ASTMX04534
OG0003263	YEAST05333	ASTMX06871
OG0003264	YEAST03398	ASTMX12623, ASTMX02507, ASTMX17172
OG0003266	YEAST05585	ASTMX22854, ASTMX02992
OG0003267	YEAST02516	ASTMX16323, ASTMX07667
OG0003270	YEAST01372, YEAST05351, YEAST01476	ASTMX00434, ASTMX01987
OG0003277	YEAST03706	ASTMX08840, ASTMX22126
OG0003283	YEAST02779	ASTMX16304
OG0003284	YEAST02184	ASTMX00092
OG0003287	YEAST00166	ASTMX06398, ASTMX14109
OG0003288	YEAST05062	ASTMX01172
OG0003290	YEAST06325	ASTMX03173
OG0003293	YEAST04930	ASTMX14284, ASTMX14283
OG0003295	YEAST06127	ASTMX10432, ASTMX03897, ASTMX15654
OG0003301	YEAST03267	ASTMX11883, ASTMX14970, ASTMX10951
OG0003302	YEAST04633	ASTMX03967, ASTMX14885
OG0003303	YEAST05878	ASTMX21947, ASTMX20298
OG0003304	YEAST01018	ASTMX01812
OG0003316	YEAST04887	ASTMX20320
OG0003317	YEAST03051	ASTMX17437
OG0003318	YEAST02158	ASTMX15794, ASTMX01091, ASTMX15793, ASTMX04784, ASTMX15792, ASTMX15791
OG0003332	YEAST02945, YEAST00447	ASTMX15129, ASTMX08712, ASTMX05756
OG0003335	YEAST01260	ASTMX10999
OG0003340	YEAST04972	ASTMX20458, ASTMX04299
OG0003341	YEAST00990	ASTMX13167
OG0003343	YEAST04356, YEAST06258	ASTMX05881
OG0003344	YEAST04764	ASTMX13412
OG0003348	YEAST02844	ASTMX17460, ASTMX00165
OG0003349	YEAST00235, YEAST04798	ASTMX06632, ASTMX06577
OG0003356	YEAST02937	ASTMX19698, ASTMX21492
OG0003357	YEAST04240, YEAST02522	ASTMX00318
OG0003364	YEAST00730	ASTMX06273, ASTMX21297
OG0003366	YEAST05276, YEAST03075	ASTMX02786
OG0003373	YEAST03755	ASTMX10290
OG0003374	YEAST03627	ASTMX00872, ASTMX16829, ASTMX01333
OG0003375	YEAST03722	ASTMX13635
OG0003377	YEAST03340	ASTMX18938
OG0003380	YEAST00529	ASTMX21115, ASTMX05978, ASTMX21392
OG0003381	YEAST03447, YEAST01380	ASTMX16157, ASTMX16159, ASTMX08992, ASTMX16158
OG0003382	YEAST01627	ASTMX06479, ASTMX06858
OG0003386	YEAST02725	ASTMX15558, ASTMX05500
OG0003425	YEAST05084	ASTMX10571
OG0003426	YEAST05251	ASTMX04641
OG0003428	YEAST04550, YEAST01154	ASTMX17578
OG0003429	YEAST05921	ASTMX01780
OG0003430	YEAST04732	ASTMX03478, ASTMX11528, ASTMX06739
OG0003434	YEAST02689	ASTMX16757
OG0003435	YEAST05483	ASTMX08077, ASTMX01388
OG0003441	YEAST05981	ASTMX13951
OG0003443	YEAST06032	ASTMX12664, ASTMX04558
OG0003454	YEAST04088	ASTMX17262, ASTMX01805, ASTMX17046
OG0003458	YEAST00169	ASTMX10149
OG0003461	YEAST05752, YEAST04759	ASTMX15709
OG0003463	YEAST02371	ASTMX08158, ASTMX19125, ASTMX17220
OG0003464	YEAST05120	ASTMX07673
OG0003465	YEAST02874	ASTMX08614
OG0003467	YEAST01278	ASTMX15385
OG0003477	YEAST03665	ASTMX10944
OG0003483	YEAST06074	ASTMX02494
OG0003487	YEAST03066	ASTMX11535
OG0003491	YEAST03514	ASTMX11829, ASTMX07278
OG0003493	YEAST01076	ASTMX11757
OG0003497	YEAST00758	ASTMX09325, ASTMX12800
OG0003498	YEAST05680	ASTMX01620
OG0003500	YEAST03303, YEAST02683	ASTMX12903, ASTMX13670
OG0003501	YEAST01421	ASTMX02416
OG0003502	YEAST02519	ASTMX09364
OG0003503	YEAST00400	ASTMX22842, ASTMX17335
OG0003505	YEAST00697	ASTMX01106
OG0003509	YEAST02850	ASTMX20219
OG0003515	YEAST00923	ASTMX14872, ASTMX08241
OG0003518	YEAST04809	ASTMX08720
OG0003523	YEAST05393	ASTMX06451, ASTMX09203
OG0003531	YEAST00465	ASTMX16540, ASTMX22221, ASTMX09746, ASTMX04691
OG0003532	YEAST05810	ASTMX09797
OG0003539	YEAST03774	ASTMX01615
OG0003541	YEAST01314	ASTMX02571
OG0003543	YEAST01290	ASTMX22680, ASTMX13907
OG0003544	YEAST00251	ASTMX05764, ASTMX12377
OG0003550	YEAST06166	ASTMX12018, ASTMX00483, ASTMX08669
OG0003551	YEAST01826	ASTMX14723, ASTMX11606, ASTMX14724, ASTMX04936
OG0003552	YEAST04163	ASTMX04006
OG0003556	YEAST05216	ASTMX21299, ASTMX01752, ASTMX13732
OG0003560	YEAST02357, YEAST05925	ASTMX20729
OG0003561	YEAST06100	ASTMX09905, ASTMX06185
OG0003562	YEAST00960	ASTMX19362, ASTMX04310, ASTMX15769
OG0003565	YEAST03392	ASTMX17264
OG0003567	YEAST04838	ASTMX03625
OG0003568	YEAST04328	ASTMX14445
OG0003570	YEAST03562, YEAST04635	ASTMX18041
OG0003571	YEAST05553	ASTMX18396, ASTMX02624
OG0003573	YEAST00597	ASTMX17087
OG0003578	YEAST05031	ASTMX15744
OG0003579	YEAST05446	ASTMX18857, ASTMX05928, ASTMX10482
OG0003582	YEAST03174	ASTMX22172, ASTMX05373
OG0003598	YEAST00803	ASTMX04073, ASTMX02389
OG0003599	YEAST04133	ASTMX16957
OG0003603	YEAST03529	ASTMX20998
OG0003610	YEAST02573	ASTMX10810
OG0003611	YEAST01054	ASTMX14877
OG0003612	YEAST00808	ASTMX21729
OG0003613	YEAST02366	ASTMX04050, ASTMX18610
OG0003615	YEAST01638	ASTMX17840, ASTMX02926, ASTMX03022
OG0003617	YEAST01843, YEAST04802, YEAST04398	ASTMX16719
OG0003618	YEAST00747	ASTMX06136
OG0003619	YEAST04756	ASTMX04527
OG0003624	YEAST00147	ASTMX19218, ASTMX20395, ASTMX20396
OG0003630	YEAST04845	ASTMX04467
OG0003632	YEAST02125	ASTMX05268, ASTMX13688, ASTMX16659
OG0003638	YEAST00956	ASTMX08095, ASTMX09482
OG0003641	YEAST04061, YEAST01158	ASTMX06736, ASTMX00519
OG0003643	YEAST03144	ASTMX06419
OG0003644	YEAST01545	ASTMX11204, ASTMX22672
OG0003645	YEAST05809, YEAST05493	ASTMX20711, ASTMX17672
OG0003646	YEAST02349	ASTMX07094
OG0003647	YEAST04352, YEAST04433	ASTMX03340, ASTMX07786
OG0003649	YEAST00203	ASTMX04920
OG0003650	YEAST00737, YEAST04997	ASTMX05339
OG0003659	YEAST00140	ASTMX22182, ASTMX21660, ASTMX21661
OG0003661	YEAST02758	ASTMX01047, ASTMX01048
OG0003664	YEAST03791	ASTMX21611, ASTMX22165, ASTMX22164
OG0003668	YEAST06168	ASTMX06218
OG0003669	YEAST02813	ASTMX15273
OG0003672	YEAST03137	ASTMX07690
OG0003676	YEAST03110	ASTMX13350, ASTMX16755
OG0003678	YEAST02330	ASTMX03163, ASTMX18968
OG0003679	YEAST03223	ASTMX00166, ASTMX14038
OG0003682	YEAST00571	ASTMX07505, ASTMX12895
OG0003687	YEAST02527, YEAST04246	ASTMX17726, ASTMX07873
OG0003688	YEAST01333, YEAST05362, YEAST00376	ASTMX13333
OG0003689	YEAST04232	ASTMX02872, ASTMX21294, ASTMX05418, ASTMX17697
OG0003690	YEAST01162	ASTMX10980, ASTMX10978
OG0003692	YEAST00692	ASTMX10000, ASTMX15655
OG0003693	YEAST05304	ASTMX14396, ASTMX02107
OG0003694	YEAST01453	ASTMX09722
OG0003696	YEAST05704	ASTMX00614
OG0003697	YEAST04962	ASTMX21853, ASTMX06569
OG0003698	YEAST03764, YEAST03185	ASTMX02803, ASTMX17268
OG0003703	YEAST00683	ASTMX18566, ASTMX17499
OG0003710	YEAST02077	ASTMX20149, ASTMX06151
OG0003712	YEAST02114	ASTMX14325, ASTMX20985
OG0003713	YEAST01549, YEAST03807	ASTMX03846, ASTMX03111
OG0003716	YEAST02390	ASTMX07172
OG0003718	YEAST05772	ASTMX05446
OG0003719	YEAST06338	ASTMX21101
OG0003721	YEAST04960	ASTMX04642, ASTMX08484, ASTMX22043
OG0003724	YEAST02365, YEAST06120	ASTMX05688
OG0003729	YEAST01543	ASTMX05387, ASTMX05386
OG0003731	YEAST04486	ASTMX18880
OG0003733	YEAST03492	ASTMX05574
OG0003734	YEAST02809, YEAST03842	ASTMX11186
OG0003735	YEAST06115	ASTMX02980
OG0003738	YEAST05605	ASTMX11368, ASTMX05001, ASTMX11367
OG0003740	YEAST01029	ASTMX16206
OG0003741	YEAST01379	ASTMX19783
OG0003743	YEAST06008, YEAST05688	ASTMX18803
OG0003744	YEAST01207	ASTMX08863, ASTMX05359
OG0003749	YEAST04441	ASTMX08310, ASTMX01524
OG0003750	YEAST00149	ASTMX18029
OG0003756	YEAST01878	ASTMX13569, ASTMX10898
OG0003758	YEAST06133	ASTMX20436, ASTMX20437
OG0003759	YEAST03315	ASTMX21302, ASTMX08728, ASTMX08729
OG0003766	YEAST03336	ASTMX00690
OG0003767	YEAST01933, YEAST01650	ASTMX00865
OG0003769	YEAST01999	ASTMX09113, ASTMX09112
OG0003770	YEAST01234, YEAST03860	ASTMX04346
OG0003778	YEAST05796	ASTMX10296, ASTMX01093
OG0003779	YEAST04431	ASTMX20791
OG0003806	YEAST02367	ASTMX21196
OG0003807	YEAST04265, YEAST03128	ASTMX03640
OG0003808	YEAST01201	ASTMX12243
OG0003811	YEAST00417	ASTMX11112
OG0003812	YEAST00287	ASTMX22843, ASTMX06055
OG0003813	YEAST00254	ASTMX06952, ASTMX11991
OG0003818	YEAST04318	ASTMX08224
OG0003824	YEAST01468	ASTMX15652
OG0003828	YEAST02448	ASTMX09777
OG0003829	YEAST02032, YEAST01031	ASTMX16879
OG0003831	YEAST03010, YEAST05137, YEAST02344	ASTMX01621
OG0003834	YEAST06322	ASTMX13103, ASTMX02832, ASTMX21677
OG0003837	YEAST02586	ASTMX22200
OG0003838	YEAST03413	ASTMX07568, ASTMX14008
OG0003839	YEAST01736	ASTMX03107
OG0003844	YEAST06054	ASTMX18569
