Pfla_genename	predicted_gene_name	eggNOG description	pair of stage-specific clusters
TCONS_00048140	CLCA2	chloride channel	19__22
TCONS_00048140	CLCA2	chloride channel	19__24
TCONS_00048433	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	20__24
TCONS_00048433	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	20__21
TCONS_00048500	CLCA2	chloride channel	22__24
TCONS_00048525	ORCT	organic cation transmembrane transporter activity	17__24
TCONS_00048525	ORCT	organic cation transmembrane transporter activity	17__22
TCONS_00048525	ORCT	organic cation transmembrane transporter activity	17__21
TCONS_00048544	SLC5A8	solute carrier family 5	21__21
TCONS_00048603	ANPEP	Aminopeptidase	20__21
TCONS_00048651	ANPEP	Aminopeptidase	15__21
TCONS_00048694	CLCA2	chloride channel	20__24
TCONS_00048697	CLCA2	chloride channel	19__24
TCONS_00048697	CLCA2	chloride channel	19__22
TCONS_00048880	CLCA2	chloride channel	17__22
TCONS_00048880	CLCA2	chloride channel	17__24
TCONS_00048881	CLCA2	chloride channel	22__24
TCONS_00048965	ORCT	organic cation transporter	19__22
TCONS_00048965	ORCT	organic cation transporter	19__21
TCONS_00048965	ORCT	organic cation transporter	19__24
TCONS_00049136	LAP-2	Cytosol aminopeptidase family, catalytic domain	22__21
TCONS_00049263	SLC5A8	solute carrier family 5	21__21
TCONS_00049292	ANPEP	Aminopeptidase	20__21
TCONS_00049337	SLC22A3	solute carrier family 22	21__21
TCONS_00049403	ANPEP	Aminopeptidase	19__21
TCONS_00049467	ACY1	aminoacylase 1	21__21
TCONS_00049540	ABCC9	ATP-binding cassette, sub-family C (CFTR MRP), member	20__21
TCONS_00049542	ABCC9	ATP-binding cassette, sub-family C (CFTR MRP), member	20__21
TCONS_00049671	F13A1	transglutaminase	17__22
TCONS_00050124	TRIM2	tripartite motif containing 2	19__24
TCONS_00050124	TRIM2	tripartite motif containing 2	19__22
TCONS_00050176	SLC22A13	solute carrier family 22	20__24
TCONS_00050176	SLC22A13	solute carrier family 22	20__21
TCONS_00050179	SLC22A13	solute carrier family 22	21__21
TCONS_00050259	VWA5B1	von Willebrand factor A domain containing	20__21
TCONS_00050420	CYB5D1	Cytochrome b5 domain containing 1	14__18
TCONS_00050578	CYP27C1	Cytochrome P450 family 27 subfamily	20__21
TCONS_00050950	ORCT	Sugar (and other) transporter	19__22
TCONS_00050950	ORCT	Sugar (and other) transporter	19__24
TCONS_00050950	ORCT	Sugar (and other) transporter	19__21
TCONS_00050963	GSTK1	glutathione S-transferase kappa 1	19__21
TCONS_00051029	NEP1	Peptidase family M13	20__24
TCONS_00051029	NEP1	Peptidase family M13	20__21
TCONS_00051058	CYP2U1	Cytochrome P450, family 2, subfamily U, polypeptide 1	19__24
TCONS_00051091	LTBR	lymphotoxin beta receptor (TNFR superfamily, member 3)	22__24
TCONS_00051316	APOD	Apolipoprotein D	17__21
TCONS_00051316	APOD	Apolipoprotein D	17__22
TCONS_00051316	APOD	Apolipoprotein D	17__24
TCONS_00051318	APOD	Apolipoprotein D	19__24
TCONS_00051318	APOD	Apolipoprotein D	19__22
TCONS_00051318	APOD	Apolipoprotein D	19__21
TCONS_00051320	APOD	Apolipoprotein D	15__21
TCONS_00051326	SLC22A13	Sugar (and other) transporter	15__21
TCONS_00051513	VAMP3	vesicle-associated membrane protein 3	17__21
TCONS_00051592	MRC1	mannose receptor, C type 1	22__21
TCONS_00051600	RPE65	Beta-carotene	21__21
TCONS_00051611	RTP4	Inherit from meNOG: receptor (chemosensory) transporter protein	17__24
TCONS_00051682	UNC93A	unc-93 homolog A (C. elegans)	20__24
TCONS_00051878	GLUT1	Sugar (and other) transporter	17__22
TCONS_00051878	GLUT1	Sugar (and other) transporter	17__24
TCONS_00051919	ADRB3	adrenoceptor beta	17__21
TCONS_00051919	ADRB3	adrenoceptor beta	17__24
TCONS_00051919	ADRB3	adrenoceptor beta	17__22
TCONS_00052022	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	21__21
TCONS_00052470	SLC7A11	solute carrier family 7 (anionic amino acid transporter light chain, xc- system), member 11	15__21
TCONS_00052595	HELT	helt bHLH transcription factor	17__21
TCONS_00052838	DRN-1	DIRAS family, GTP-binding Ras-like	17__24
TCONS_00052838	DRN-1	DIRAS family, GTP-binding Ras-like	17__21
TCONS_00052900	TCTEX1D1	Tctex1 domain containing 1	19__21
TCONS_00052911	NDUFB7	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	14__18
TCONS_00053043	ASMTL	Maf-like protein	14__18
TCONS_00053050	VLDLR	low- density lipoprotein	19__22
TCONS_00053085	ASMT	Acetylserotonin O-methyltransferase	14__18
TCONS_00053093	VLDLR	Very LOW density lipoprotein receptor	19__22
TCONS_00053231	CYP4B1	Cytochrome P450, family 4, subfamily	19__21
TCONS_00053231	CYP4B1	Cytochrome P450, family 4, subfamily	19__22
TCONS_00053442	ARSB	Arylsulfatase B	17__21
TCONS_00053844	PNLIP	pancreatic	15__21
TCONS_00053856	PNLIP	pancreatic	15__21
TCONS_00054008	SLC16A14	solute carrier family 16, member 14 (monocarboxylic acid transporter 14)	20__24
TCONS_00054086	AKR1A1	Aldo-keto reductase family 1, member A1 (Aldehyde reductase)	19__21
TCONS_00054095	AKR1A1	Aldo-keto reductase family 1, member A1 (Aldehyde reductase)	15__21
TCONS_00054243	SLC1A1	solute carrier family 1 (glial high affinity glutamate transporter), member	20__21
TCONS_00054325	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif, 6	20__21
TCONS_00054325	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif, 6	20__24
TCONS_00054373	CYP4F12	cytochrome P450, family 4, subfamily F, polypeptide	17__21
TCONS_00054373	CYP4F12	cytochrome P450, family 4, subfamily F, polypeptide	17__22
TCONS_00054374	CYP4B1	Cytochrome P450, family 4, subfamily	22__21
TCONS_00054375	CYP4B1	cytochrome P450, family 4, subfamily B, polypeptide 1	17__22
TCONS_00054375	CYP4B1	cytochrome P450, family 4, subfamily B, polypeptide 1	17__21
TCONS_00054377	CYP4B1	cytochrome P450, family 4, subfamily B, polypeptide 1	19__22
TCONS_00054377	CYP4B1	cytochrome P450, family 4, subfamily B, polypeptide 1	19__21
TCONS_00054380	CYP4B1	cytochrome P450, family 4, subfamily B, polypeptide 1	22__21
TCONS_00054381	CYP4B1	cytochrome P450, family 4, subfamily B, polypeptide 1	19__21
TCONS_00054381	CYP4B1	cytochrome P450, family 4, subfamily B, polypeptide 1	19__22
TCONS_00054475	AADACL3	arylacetamide deacetylase-like	15__21
TCONS_00054478	AADACL2	arylacetamide deacetylase-like	15__21
TCONS_00054639	GNBPB4	Glycosyl hydrolases family 16	19__24
TCONS_00055161	RPL36A	ribosomal protein	14__18
TCONS_00055165	AMY1C	Aamy_C	19__24
TCONS_00055259	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	22__24
TCONS_00055260	GLRA3	Glycine receptor alpha	21__21
TCONS_00055330	RPS11	Ribosomal protein S11	14__18
TCONS_00055415	MAP1LC3A	microtubule-associated protein 1 light chain 3 alpha	20__21
TCONS_00055752	GABBR2	gamma-aminobutyric acid (GABA) B receptor, 2	17__22
TCONS_00055752	GABBR2	gamma-aminobutyric acid (GABA) B receptor, 2	17__21
TCONS_00055753	GABBR2	gamma-aminobutyric acid (GABA) B receptor, 2	21__21
TCONS_00055828	SNX9	sorting nexin	22__21
TCONS_00055873	GSTO2	Glutathione S-transferase omega	15__21
TCONS_00056106	RPL15	Ribosomal protein L15	14__18
TCONS_00056380	AMY2A	amylase, alpha	22__24
TCONS_00056388	EEF1B2	Eukaryotic translation elongation factor 1 beta 2	20__21
TCONS_00056434	NAALAD2	N-acetylated alpha-linked acidic	19__24
TCONS_00056436	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	20__24
TCONS_00056554	BBOX1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	21__21
TCONS_00056595	PAQR5	Progestin and adipoQ receptor family member	19__24
TCONS_00056595	PAQR5	Progestin and adipoQ receptor family member	19__21
TCONS_00056847	ITGA8	Integrin, alpha	20__21
TCONS_00056856	CRHR2	Corticotropin releasing hormone receptor 2	17__24
TCONS_00056910	GABA-B-R2	gaba-b receptor	20__21
TCONS_00057193	GDA	Guanine deaminase	20__21
