Orthogroup	MOUSE	YEAST
OG0001066	MOUSE40015, MOUSE31058, MOUSE31059, MOUSE52782, MOUSE52781, MOUSE31057, MOUSE06657	YEAST06311
OG0001075	MOUSE09043, MOUSE06818, MOUSE06819, MOUSE06820, MOUSE06821	YEAST05636
OG0001076	MOUSE38868, MOUSE38867, MOUSE38869, MOUSE36455, MOUSE38870, MOUSE38871, MOUSE38872, MOUSE36450, MOUSE36452, MOUSE36451, MOUSE36453, MOUSE36454, MOUSE36456	YEAST01570
OG0001081	MOUSE44218, MOUSE44217	YEAST04460
OG0001082	MOUSE14728, MOUSE22504, MOUSE22503, MOUSE14725, MOUSE14727, MOUSE14726	YEAST03919, YEAST02905, YEAST05331
OG0001094	MOUSE28049, MOUSE07073, MOUSE20159, MOUSE20160, MOUSE07072	YEAST03837
OG0001095	MOUSE02421, MOUSE02420, MOUSE23369, MOUSE23364, MOUSE02408, MOUSE02419, MOUSE02417, MOUSE02410, MOUSE02413, MOUSE02415, MOUSE02412, MOUSE02418, MOUSE23367, MOUSE23365, MOUSE23371, MOUSE23370, MOUSE23366, MOUSE53105, MOUSE53107, MOUSE53109, MOUSE53106, MOUSE53110, MOUSE23368	YEAST00773
OG0001101	MOUSE41244, MOUSE41246, MOUSE41245, MOUSE41243	YEAST03434
OG0001101	MOUSE55171	YEAST04701
OG0001108	MOUSE14807, MOUSE38129, MOUSE38128	YEAST06309
OG0001111	MOUSE12418, MOUSE12417, MOUSE12423, MOUSE12422, MOUSE12421, MOUSE12419, MOUSE12420, MOUSE34062, MOUSE48399, MOUSE15293, MOUSE15294	YEAST06003
OG0001113	MOUSE14213	YEAST05320
OG0001113	MOUSE06432	YEAST00954
OG0001114	MOUSE51574, MOUSE51573, MOUSE30316, MOUSE30317, MOUSE51577, MOUSE51576, MOUSE51579, MOUSE51580, MOUSE51575, MOUSE51581, MOUSE30318	YEAST00036, YEAST05811
OG0001124	MOUSE06528, MOUSE06527, MOUSE06526, MOUSE53543, MOUSE53521, MOUSE53533, MOUSE53525, MOUSE53529, MOUSE53532, MOUSE53519, MOUSE53542, MOUSE53524, MOUSE53530, MOUSE53536, MOUSE53535, MOUSE53523, MOUSE53527, MOUSE53528, MOUSE53534, MOUSE53522, MOUSE53544, MOUSE53545, MOUSE53546	YEAST02719
OG0001132	MOUSE20734, MOUSE20732, MOUSE20733	YEAST05421
OG0001133	MOUSE17666, MOUSE17665	YEAST04296
OG0001133	MOUSE10581	YEAST03271
OG0001134	MOUSE45585, MOUSE45586, MOUSE45589, MOUSE45473, MOUSE45481, MOUSE45482, MOUSE45588, MOUSE45587, MOUSE06312, MOUSE06311, MOUSE38657	YEAST05015
OG0001135	MOUSE05096, MOUSE05095, MOUSE05097, MOUSE05098, MOUSE05099, MOUSE17160, MOUSE17018	YEAST03641
OG0001136	MOUSE01519, MOUSE01518, MOUSE19515, MOUSE51766, MOUSE51761, MOUSE51768, MOUSE51767, MOUSE51763, MOUSE51762	YEAST05047, YEAST02997
OG0001140	MOUSE13457, MOUSE34019, MOUSE06768, MOUSE06770, MOUSE34122	YEAST03519
OG0001142	MOUSE20269, MOUSE20265, MOUSE20263, MOUSE20266, MOUSE20264	YEAST04001
OG0001163	MOUSE21150, MOUSE21152, MOUSE21149, MOUSE21151	YEAST02433
OG0001164	MOUSE35809, MOUSE35808, MOUSE35802, MOUSE35803, MOUSE35806, MOUSE35805, MOUSE35815, MOUSE35813, MOUSE35814, MOUSE35807, MOUSE35811, MOUSE35812	YEAST03454
OG0001171	MOUSE21547, MOUSE21549, MOUSE21548, MOUSE00273, MOUSE00265, MOUSE00271, MOUSE00268, MOUSE00270, MOUSE00272, MOUSE28610, MOUSE28611, MOUSE21550	YEAST04620, YEAST03578
OG0001175	MOUSE27823, MOUSE47769, MOUSE47768, MOUSE27822	YEAST00534
OG0001177	MOUSE18974, MOUSE02843	YEAST06137
OG0001179	MOUSE28734, MOUSE28732, MOUSE28733, MOUSE28729, MOUSE28730	YEAST00368, YEAST04831, YEAST02287
OG0001181	MOUSE25135, MOUSE25133, MOUSE25132, MOUSE25129, MOUSE25130, MOUSE25131, MOUSE05285, MOUSE05284, MOUSE05286, MOUSE05283	YEAST02051
OG0001184	MOUSE17556, MOUSE17557, MOUSE26991, MOUSE26992, MOUSE26989, MOUSE26990	YEAST01681
OG0001185	MOUSE34188, MOUSE34187, MOUSE34189, MOUSE34190, MOUSE34186, MOUSE00151, MOUSE00154, MOUSE00152, MOUSE00153	YEAST04969
OG0001186	MOUSE19689, MOUSE49888, MOUSE49887, MOUSE49824, MOUSE49829, MOUSE49825, MOUSE49826, MOUSE49828	YEAST04605, YEAST01886
OG0001191	MOUSE12783, MOUSE12784, MOUSE00924, MOUSE00927, MOUSE19181	YEAST04707
OG0001197	MOUSE20318, MOUSE39856, MOUSE39857, MOUSE39858, MOUSE26526, MOUSE26525	YEAST01499
OG0001201	MOUSE28584, MOUSE13815	YEAST05452
OG0001204	MOUSE37474, MOUSE05028, MOUSE05027, MOUSE37475, MOUSE37473, MOUSE05024, MOUSE05026, MOUSE05025	YEAST05200
OG0001207	MOUSE23357, MOUSE23358, MOUSE05847, MOUSE19129	YEAST04258
OG0001210	MOUSE28107	YEAST05511
OG0001210	MOUSE52269, MOUSE52270, MOUSE52268, MOUSE52267	YEAST02318
OG0001212	MOUSE29621, MOUSE29618, MOUSE29620, MOUSE29619, MOUSE29623, MOUSE29624, MOUSE29625, MOUSE29622	YEAST03971
OG0001214	MOUSE25114, MOUSE02294, MOUSE02293	YEAST00577
OG0001216	MOUSE04150, MOUSE41652, MOUSE04149, MOUSE49613	YEAST00145
OG0001219	MOUSE03413, MOUSE22192, MOUSE22191, MOUSE03411, MOUSE30324, MOUSE30320, MOUSE30322, MOUSE51467, MOUSE51466, MOUSE51465	YEAST03867
OG0001236	MOUSE43548, MOUSE43547, MOUSE41478, MOUSE10880, MOUSE48699, MOUSE41477, MOUSE41479, MOUSE32862, MOUSE55034, MOUSE03175	YEAST03325, YEAST02687, YEAST03269
OG0001237	MOUSE44675, MOUSE30819, MOUSE10307, MOUSE10308	YEAST04380
OG0001238	MOUSE09449, MOUSE53338, MOUSE53337, MOUSE53334, MOUSE53336, MOUSE53335, MOUSE05724, MOUSE14724	YEAST04481
OG0001241	MOUSE28271	YEAST02002
OG0001241	MOUSE13111, MOUSE13112, MOUSE13113, MOUSE54117	YEAST03967, YEAST01074
OG0001243	MOUSE48006, MOUSE48010, MOUSE48011, MOUSE48005, MOUSE48012, MOUSE51749, MOUSE51750, MOUSE51747, MOUSE51748	YEAST00739, YEAST05004
OG0001249	MOUSE50138, MOUSE50139, MOUSE18428, MOUSE32916, MOUSE32917, MOUSE33692, MOUSE33693, MOUSE18429, MOUSE18431, MOUSE18430	YEAST01062, YEAST02067
OG0001250	MOUSE05083, MOUSE05082, MOUSE05080, MOUSE05081, MOUSE05079, MOUSE48689, MOUSE48694, MOUSE48691, MOUSE48693, MOUSE03759, MOUSE03761, MOUSE03762, MOUSE03760, MOUSE03758, MOUSE03757, MOUSE03763, MOUSE03764, MOUSE48692	YEAST02968, YEAST01339
OG0001251	MOUSE12321	YEAST00750
OG0001251	MOUSE49810, MOUSE49811, MOUSE12317, MOUSE12318, MOUSE12320, MOUSE12319, MOUSE12322, MOUSE12323, MOUSE12316	YEAST01707
OG0001253	MOUSE14428, MOUSE17305, MOUSE17304, MOUSE14429, MOUSE17299, MOUSE17303, MOUSE17301, MOUSE17300, MOUSE17302	YEAST03998
OG0001254	MOUSE27598, MOUSE27593, MOUSE27595, MOUSE27596, MOUSE23171, MOUSE23169, MOUSE23170, MOUSE27590, MOUSE27591, MOUSE27592	YEAST04309
OG0001262	MOUSE25437, MOUSE17627, MOUSE17628, MOUSE17631, MOUSE17629, MOUSE17630, MOUSE25438	YEAST00911
OG0001263	MOUSE05177, MOUSE47783, MOUSE11081, MOUSE11080, MOUSE05175, MOUSE05174, MOUSE05173, MOUSE05176, MOUSE05172	YEAST00172
OG0001268	MOUSE52730, MOUSE36602, MOUSE36603, MOUSE52733, MOUSE55418, MOUSE53751	YEAST03495
OG0001270	MOUSE16996	YEAST01703
OG0001270	MOUSE15064	YEAST02398
OG0001271	MOUSE35510, MOUSE35509, MOUSE05864, MOUSE05862, MOUSE05863, MOUSE14691	YEAST05227, YEAST00662
OG0001278	MOUSE06444, MOUSE06445, MOUSE06443, MOUSE06442, MOUSE24602, MOUSE13838	YEAST01893
OG0001279	MOUSE43221, MOUSE43228, MOUSE43223, MOUSE43226, MOUSE43225, MOUSE08244, MOUSE08245, MOUSE43227, MOUSE43224, MOUSE43222, MOUSE08243, MOUSE08242, MOUSE24506, MOUSE24507	YEAST03070
OG0001280	MOUSE44896, MOUSE44895, MOUSE44898, MOUSE18406, MOUSE33000, MOUSE33001, MOUSE33002, MOUSE32998, MOUSE32999	YEAST00846
OG0001282	MOUSE04240, MOUSE29444, MOUSE04236, MOUSE04239, MOUSE04238, MOUSE04237, MOUSE29443, MOUSE29440, MOUSE29442, MOUSE29441	YEAST03744
OG0001284	MOUSE39659, MOUSE27610	YEAST00567, YEAST01498
OG0001286	MOUSE42250, MOUSE42251, MOUSE47132, MOUSE47129, MOUSE47135, MOUSE47130, MOUSE47131, MOUSE47138, MOUSE47136, MOUSE47140, MOUSE47139, MOUSE42252, MOUSE47141, MOUSE47133, MOUSE47134, MOUSE42248, MOUSE42249	YEAST00588, YEAST01486, YEAST03604
OG0001291	MOUSE12798, MOUSE12799, MOUSE31626, MOUSE31627, MOUSE11027, MOUSE11026, MOUSE11025, MOUSE11024	YEAST04453, YEAST04334
OG0001300	MOUSE52263, MOUSE12894, MOUSE54438, MOUSE54437, MOUSE54436	YEAST01098
OG0001302	MOUSE33570	YEAST02328
OG0001302	MOUSE32071, MOUSE32070	YEAST00299
OG0001310	MOUSE21998, MOUSE27515, MOUSE27516, MOUSE21999, MOUSE21997, MOUSE21996	YEAST00887
OG0001318	MOUSE42538, MOUSE42537, MOUSE42536, MOUSE16122	YEAST03712
OG0001319	MOUSE38465, MOUSE38467, MOUSE52366, MOUSE52369, MOUSE52371, MOUSE53963, MOUSE53962, MOUSE52368, MOUSE52374, MOUSE52373, MOUSE52367, MOUSE52365, MOUSE38468	YEAST01678
OG0001321	MOUSE17511, MOUSE30251, MOUSE30250, MOUSE51700, MOUSE51701, MOUSE17510, MOUSE17509, MOUSE17512, MOUSE51705, MOUSE51704	YEAST02280, YEAST01901
OG0001322	MOUSE46962, MOUSE46958, MOUSE46961, MOUSE46963, MOUSE46960, MOUSE46959, MOUSE43313, MOUSE43312, MOUSE43314, MOUSE43315	YEAST06128
OG0001324	MOUSE15482, MOUSE15476, MOUSE15481, MOUSE15478, MOUSE15479, MOUSE15477, MOUSE15484, MOUSE15483, MOUSE15480, MOUSE15485	YEAST00078
OG0001325	MOUSE31656, MOUSE31655, MOUSE31660, MOUSE31661, MOUSE31658, MOUSE31659, MOUSE31662, MOUSE31663, MOUSE31664, MOUSE31666	YEAST00793
OG0001326	MOUSE21119, MOUSE21120, MOUSE21838, MOUSE21837, MOUSE21836, MOUSE21270, MOUSE21269	YEAST05395
OG0001327	MOUSE52821, MOUSE41523, MOUSE02265, MOUSE23421, MOUSE23422	YEAST03176
OG0001332	MOUSE32701	YEAST03929, YEAST02705, YEAST00687
OG0001333	MOUSE14060, MOUSE16928	YEAST00728
OG0001341	MOUSE46510, MOUSE46512, MOUSE19790	YEAST06006
OG0001345	MOUSE40648, MOUSE40646, MOUSE40645, MOUSE40650, MOUSE40649, MOUSE40647	YEAST03613
OG0001353	MOUSE28164, MOUSE28376, MOUSE28374, MOUSE28375	YEAST00020, YEAST04041
OG0001363	MOUSE23857, MOUSE23858, MOUSE23859	YEAST06180
OG0001364	MOUSE22897, MOUSE22899, MOUSE22902, MOUSE22900, MOUSE22901, MOUSE38339, MOUSE38340, MOUSE22895, MOUSE22898, MOUSE22903, MOUSE22894, MOUSE22892, MOUSE22893, MOUSE22896	YEAST06038, YEAST00402
OG0001367	MOUSE28593, MOUSE28595, MOUSE28594, MOUSE18613, MOUSE18611, MOUSE06729, MOUSE06730	YEAST04688
OG0001368	MOUSE28166, MOUSE07621, MOUSE07620	YEAST01821
OG0001370	MOUSE44772, MOUSE22367, MOUSE44775, MOUSE22370	YEAST04067, YEAST05195, YEAST00897
OG0001371	MOUSE06358	YEAST00532, YEAST03976
OG0001372	MOUSE31956	YEAST00070
OG0001375	MOUSE00315, MOUSE34217	YEAST05499, YEAST05567
OG0001378	MOUSE12733, MOUSE46829, MOUSE12734, MOUSE46833, MOUSE36025, MOUSE19414, MOUSE19415, MOUSE46831	YEAST02300
OG0001379	MOUSE45251, MOUSE52412, MOUSE52413, MOUSE45252, MOUSE45253	YEAST04155
OG0001386	MOUSE05401, MOUSE10954, MOUSE10953, MOUSE10955	YEAST05114
OG0001397	MOUSE09428, MOUSE21175, MOUSE21174, MOUSE21173, MOUSE21261	YEAST05731
OG0001400	MOUSE05263, MOUSE05262, MOUSE26520, MOUSE26518, MOUSE26517, MOUSE26519, MOUSE39778, MOUSE39779, MOUSE39777, MOUSE39773, MOUSE39774, MOUSE39776, MOUSE39775	YEAST02931
OG0001409	MOUSE43073, MOUSE43072, MOUSE15819, MOUSE15820	YEAST00885, YEAST04659
OG0001410	MOUSE29322, MOUSE22570, MOUSE22569, MOUSE22568, MOUSE38530, MOUSE38529, MOUSE29320, MOUSE29323, MOUSE29321	YEAST05046
OG0001411	MOUSE36550, MOUSE36551	YEAST04834
OG0001412	MOUSE37382, MOUSE37381, MOUSE37384, MOUSE37385, MOUSE37383	YEAST04490
OG0001413	MOUSE37829, MOUSE37830, MOUSE44790, MOUSE44789, MOUSE44788, MOUSE44787	YEAST04294
OG0001414	MOUSE18642, MOUSE18643, MOUSE18644, MOUSE02910	YEAST06070, YEAST01920
OG0001415	MOUSE15314, MOUSE15315	YEAST04230
OG0001421	MOUSE42751, MOUSE42755, MOUSE42754, MOUSE42753, MOUSE24555, MOUSE20249, MOUSE08160, MOUSE08159, MOUSE24554, MOUSE24560, MOUSE24559, MOUSE24561, MOUSE24562, MOUSE24558, MOUSE24556, MOUSE24557, MOUSE24553	YEAST05252
OG0001422	MOUSE26467, MOUSE26461, MOUSE26459, MOUSE39837, MOUSE26464, MOUSE26465, MOUSE39840, MOUSE39842, MOUSE39841, MOUSE39847, MOUSE39848, MOUSE39844, MOUSE39845, MOUSE39846, MOUSE39843, MOUSE26462, MOUSE26460	YEAST05588, YEAST01363
OG0001424	MOUSE01154, MOUSE20236, MOUSE01153, MOUSE01152	YEAST01127
OG0001427	MOUSE28295, MOUSE35647, MOUSE19057, MOUSE19060, MOUSE19058, MOUSE19061, MOUSE19059, MOUSE35646, MOUSE35645	YEAST01885
OG0001428	MOUSE34894, MOUSE34896, MOUSE34893, MOUSE19473, MOUSE04265, MOUSE41409, MOUSE41408, MOUSE04268	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	MOUSE06605, MOUSE18637, MOUSE20248, MOUSE27511, MOUSE42620, MOUSE42621	YEAST01712
OG0001434	MOUSE32189, MOUSE32188	YEAST03991
OG0001437	MOUSE19686, MOUSE29315, MOUSE29316, MOUSE29317, MOUSE29314	YEAST01264, YEAST02900
OG0001445	MOUSE28043, MOUSE28044, MOUSE43177, MOUSE43176, MOUSE16757	YEAST01715
OG0001449	MOUSE35682, MOUSE35683, MOUSE35684, MOUSE35685, MOUSE35681	YEAST03188
OG0001449	MOUSE22414	YEAST05764
OG0001452	MOUSE10305, MOUSE44844, MOUSE30200, MOUSE30198, MOUSE30199, MOUSE44846, MOUSE44847, MOUSE44845	YEAST05900
OG0001454	MOUSE29691, MOUSE03612, MOUSE03611, MOUSE29689, MOUSE29692, MOUSE29690, MOUSE29694, MOUSE29693	YEAST01495, YEAST00573
OG0001456	MOUSE52266, MOUSE52265	YEAST00365
OG0001459	MOUSE41970, MOUSE44251, MOUSE44247, MOUSE44248, MOUSE44249, MOUSE41971, MOUSE41967, MOUSE41968, MOUSE41969, MOUSE41972, MOUSE41973, MOUSE44250	YEAST03073, YEAST03464
OG0001461	MOUSE39121, MOUSE39120	YEAST05255
OG0001468	MOUSE22505, MOUSE53195, MOUSE53196, MOUSE02343, MOUSE02342	YEAST03875, YEAST03904
OG0001469	MOUSE27763	YEAST02070
OG0001469	MOUSE00629	YEAST02765
OG0001470	MOUSE04730, MOUSE04729, MOUSE04728, MOUSE04727	YEAST00369, YEAST05375
OG0001472	MOUSE35226, MOUSE35228, MOUSE35227, MOUSE29107, MOUSE29108	YEAST03031
OG0001473	MOUSE14033, MOUSE14034	YEAST05711
OG0001474	MOUSE46192, MOUSE27568, MOUSE27567, MOUSE46193, MOUSE46194	YEAST01416, YEAST05312
OG0001478	MOUSE27453, MOUSE27451, MOUSE27450, MOUSE27452	YEAST01984
OG0001478	MOUSE14118	YEAST02078
OG0001479	MOUSE47407, MOUSE47406, MOUSE25857, MOUSE31243, MOUSE31244, MOUSE47409, MOUSE47405, MOUSE25855, MOUSE25856	YEAST01132
OG0001503	MOUSE48444	YEAST03032
OG0001503	MOUSE41776, MOUSE41774, MOUSE41777, MOUSE41772, MOUSE41773	YEAST02920
OG0001504	MOUSE28382, MOUSE28383, MOUSE28380, MOUSE28381, MOUSE28379	YEAST05406
OG0001505	MOUSE29456, MOUSE04126, MOUSE04125, MOUSE04124	YEAST03361
OG0001508	MOUSE45983, MOUSE45981, MOUSE45982, MOUSE44231, MOUSE44230, MOUSE44229, MOUSE44234, MOUSE44233, MOUSE44232	YEAST04143
OG0001515	MOUSE04853, MOUSE04849, MOUSE04850, MOUSE04851, MOUSE02775, MOUSE02777, MOUSE02776	YEAST03320
OG0001515	MOUSE04848	YEAST03569
OG0001520	MOUSE34134, MOUSE34139, MOUSE34135, MOUSE34137, MOUSE34136, MOUSE34138, MOUSE06660, MOUSE06662, MOUSE06661, MOUSE06668, MOUSE06664, MOUSE06666, MOUSE06667, MOUSE06665, MOUSE06669	YEAST03872
OG0001524	MOUSE21121, MOUSE49229	YEAST03912
OG0001525	MOUSE37570, MOUSE37574, MOUSE37572, MOUSE37575, MOUSE37571	YEAST00757
OG0001527	MOUSE04315, MOUSE04314	YEAST00435
OG0001527	MOUSE01117, MOUSE01118, MOUSE04312, MOUSE04311, MOUSE04310, MOUSE04313, MOUSE13589	YEAST01395
OG0001529	MOUSE52871	YEAST00980
OG0001529	MOUSE52749, MOUSE52864, MOUSE52868, MOUSE52867, MOUSE52865, MOUSE52866, MOUSE52863, MOUSE52869, MOUSE52870, MOUSE52747, MOUSE52748, MOUSE52746, MOUSE52745, MOUSE52750, MOUSE17230	YEAST01143
OG0001530	MOUSE11448, MOUSE11447, MOUSE36978, MOUSE36976, MOUSE36977, MOUSE36980, MOUSE11450	YEAST00643
OG0001546	MOUSE07046, MOUSE18675, MOUSE07047	YEAST03111
OG0001550	MOUSE53327, MOUSE24814, MOUSE24815, MOUSE24813	YEAST02405, YEAST05953
OG0001551	MOUSE07720, MOUSE24761, MOUSE24759, MOUSE24760	YEAST04817
OG0001553	MOUSE47772, MOUSE47771, MOUSE11102, MOUSE11100, MOUSE11099, MOUSE11101, MOUSE03464, MOUSE03466, MOUSE03465, MOUSE11103	YEAST05147, YEAST01586
OG0001557	MOUSE27258	YEAST04671
OG0001557	MOUSE07001, MOUSE07002	YEAST04551
OG0001558	MOUSE25248, MOUSE25247, MOUSE25246, MOUSE25245, MOUSE25249, MOUSE47376, MOUSE47379, MOUSE47373, MOUSE47380	YEAST04449
OG0001559	MOUSE24616, MOUSE24618, MOUSE24617, MOUSE11720, MOUSE11719, MOUSE24626, MOUSE24627, MOUSE24624, MOUSE24625, MOUSE20118	YEAST00445, YEAST02434
OG0001561	MOUSE40948, MOUSE40947, MOUSE40953, MOUSE40950, MOUSE40951, MOUSE40952, MOUSE40949, MOUSE17306, MOUSE14396, MOUSE14395, MOUSE14394	YEAST06176
OG0001564	MOUSE22917, MOUSE22921, MOUSE22922, MOUSE22916, MOUSE22915, MOUSE22918, MOUSE45322, MOUSE45323, MOUSE45324, MOUSE45325	YEAST05390
OG0001570	MOUSE44022, MOUSE44024, MOUSE44023, MOUSE44020, MOUSE44021, MOUSE44017, MOUSE44014	YEAST04678
OG0001573	MOUSE31358, MOUSE31355, MOUSE31356, MOUSE31357, MOUSE32755	YEAST03285
OG0001578	MOUSE12774, MOUSE12766, MOUSE21125, MOUSE21038	YEAST01872
OG0001580	MOUSE29104, MOUSE29103, MOUSE43692, MOUSE43694, MOUSE43691, MOUSE43695, MOUSE43696	YEAST06270
OG0001590	MOUSE27654	YEAST03476, YEAST00717, YEAST03955
OG0001594	MOUSE16260	YEAST03418
OG0001597	MOUSE38913, MOUSE46941, MOUSE46949, MOUSE46952, MOUSE46950, MOUSE46953, MOUSE46951, MOUSE46954	YEAST01702
OG0001603	MOUSE17807, MOUSE17707, MOUSE17704, MOUSE17703, MOUSE17811	YEAST02584
OG0001604	MOUSE36002, MOUSE36001, MOUSE04891, MOUSE04892	YEAST01428
OG0001605	MOUSE11891, MOUSE11892, MOUSE11890	YEAST04101
OG0001609	MOUSE12876, MOUSE40801, MOUSE40800, MOUSE40802	YEAST02739
OG0001610	MOUSE29718, MOUSE33856, MOUSE33852, MOUSE33853, MOUSE33855, MOUSE28650, MOUSE16605, MOUSE19397, MOUSE13421	YEAST00596, YEAST02062
OG0001612	MOUSE16377, MOUSE16379, MOUSE16380, MOUSE16381, MOUSE16378, MOUSE52149, MOUSE52147, MOUSE52146, MOUSE52145, MOUSE52148	YEAST01109
OG0001628	MOUSE18750	YEAST04790
OG0001653	MOUSE13203	YEAST01151
OG0001655	MOUSE48280, MOUSE48281, MOUSE48284, MOUSE48282, MOUSE48283, MOUSE42419, MOUSE42418, MOUSE42417, MOUSE53496, MOUSE53498, MOUSE53497	YEAST03354
OG0001657	MOUSE02718, MOUSE02719, MOUSE02717, MOUSE02720, MOUSE02721, MOUSE20575	YEAST00101, YEAST00944
OG0001663	MOUSE39143, MOUSE39142, MOUSE53600	YEAST05642
OG0001676	MOUSE00877, MOUSE00878	YEAST02848
OG0001676	MOUSE48433	YEAST06155
OG0001680	MOUSE18749, MOUSE07459, MOUSE07461, MOUSE43274, MOUSE43275, MOUSE54064, MOUSE07460	YEAST01119, YEAST04022
OG0001685	MOUSE36317, MOUSE36311, MOUSE36315, MOUSE36312, MOUSE36313, MOUSE36316, MOUSE36314	YEAST01147
OG0001687	MOUSE00821, MOUSE00820	YEAST05279
OG0001691	MOUSE46475, MOUSE46476, MOUSE46478, MOUSE46479, MOUSE46480, MOUSE46477, MOUSE37263, MOUSE37264, MOUSE37262, MOUSE46481	YEAST01315
OG0001704	MOUSE14721, MOUSE14720, MOUSE14723, MOUSE14719, MOUSE14722, MOUSE14718, MOUSE02583	YEAST01293
OG0001706	MOUSE54183, MOUSE54182, MOUSE50117, MOUSE50116, MOUSE54176, MOUSE54178, MOUSE54179, MOUSE54180	YEAST03424
OG0001707	MOUSE18955, MOUSE18956, MOUSE18954, MOUSE18957	YEAST06049, YEAST00407, YEAST04739
OG0001708	MOUSE32138, MOUSE24320	YEAST05744, YEAST05745
OG0001709	MOUSE19372, MOUSE19373	YEAST04440
OG0001713	MOUSE19994, MOUSE19995, MOUSE49631, MOUSE49633, MOUSE49632, MOUSE49634, MOUSE49635	YEAST04039
OG0001718	MOUSE07283, MOUSE07282, MOUSE18354, MOUSE18355	YEAST01537
OG0001721	MOUSE16043, MOUSE16042, MOUSE52086, MOUSE52087, MOUSE07334	YEAST04881, YEAST05253, YEAST00698
OG0001723	MOUSE54082, MOUSE52248, MOUSE54084, MOUSE54083, MOUSE53738, MOUSE53736, MOUSE53737	YEAST01435
OG0001727	MOUSE42676, MOUSE42672, MOUSE42671, MOUSE07041, MOUSE07040, MOUSE18673, MOUSE18674, MOUSE18672, MOUSE42673	YEAST04543
OG0001728	MOUSE51318, MOUSE51319, MOUSE51320, MOUSE51317, MOUSE19476, MOUSE19477	YEAST03347
OG0001730	MOUSE33438, MOUSE33440, MOUSE33439, MOUSE33441, MOUSE33442, MOUSE33436, MOUSE33437, MOUSE48659, MOUSE48658, MOUSE48657	YEAST00177
OG0001739	MOUSE54680, MOUSE47273, MOUSE02157, MOUSE02158, MOUSE02159, MOUSE02156, MOUSE47272, MOUSE47271, MOUSE47270	YEAST03760
OG0001745	MOUSE34211, MOUSE00712, MOUSE00711	YEAST01431
OG0001750	MOUSE18910, MOUSE18909, MOUSE02386, MOUSE26150, MOUSE26149	YEAST03628
OG0001754	MOUSE52153, MOUSE52154, MOUSE45003, MOUSE19781	YEAST03682
OG0001755	MOUSE51232	YEAST05131
OG0001756	MOUSE21187, MOUSE47775, MOUSE47774	YEAST00620
OG0001769	MOUSE21351, MOUSE21353, MOUSE21352, MOUSE07446, MOUSE07447, MOUSE07444	YEAST04726
OG0001770	MOUSE21949, MOUSE21951, MOUSE21948, MOUSE54992, MOUSE03364, MOUSE03365, MOUSE48766, MOUSE48765	YEAST02590
OG0001774	MOUSE27852, MOUSE54272, MOUSE44450	YEAST05166
OG0001775	MOUSE01603	YEAST05594
OG0001780	MOUSE15320, MOUSE15319, MOUSE15316, MOUSE15317, MOUSE15318, MOUSE54875, MOUSE54873, MOUSE54874	YEAST03768
OG0001781	MOUSE05639, MOUSE05640, MOUSE17844	YEAST01882
OG0001782	MOUSE18513, MOUSE18512, MOUSE10999, MOUSE10996, MOUSE10997, MOUSE10998, MOUSE10995	YEAST02421
OG0001785	MOUSE13134	YEAST02713
OG0001787	MOUSE16363, MOUSE16364, MOUSE18093, MOUSE18092, MOUSE34354, MOUSE34355, MOUSE34353	YEAST03546
OG0001792	MOUSE25540, MOUSE25539	YEAST04331
OG0001792	MOUSE25538	YEAST02075
OG0001792	MOUSE48452, MOUSE48453	YEAST04595
OG0001793	MOUSE53160, MOUSE50653, MOUSE50654	YEAST02466
OG0001805	MOUSE02151, MOUSE02152, MOUSE02149, MOUSE44430, MOUSE44431, MOUSE02150	YEAST05496, YEAST01242
OG0001807	MOUSE05508, MOUSE05509, MOUSE05510	YEAST05464
OG0001808	MOUSE37155, MOUSE37154, MOUSE37157, MOUSE37153, MOUSE37152, MOUSE37156, MOUSE33210, MOUSE33212, MOUSE33214, MOUSE33211, MOUSE33213, MOUSE37158	YEAST01298
OG0001818	MOUSE18124, MOUSE08126, MOUSE18122	YEAST05902, YEAST04712
OG0001822	MOUSE14303, MOUSE14304, MOUSE14305, MOUSE23581, MOUSE23582, MOUSE45745, MOUSE45744	YEAST04378, YEAST01659
OG0001826	MOUSE22679, MOUSE22677, MOUSE22678, MOUSE55040, MOUSE55041	YEAST04777, YEAST01697, YEAST05781
OG0001828	MOUSE11364, MOUSE11363	YEAST04676
OG0001829	MOUSE49227, MOUSE49228, MOUSE49681, MOUSE49682, MOUSE49683	YEAST01613, YEAST00136, YEAST02008
OG0001831	MOUSE17110, MOUSE17114, MOUSE04759, MOUSE04760, MOUSE04757, MOUSE04758, MOUSE04761, MOUSE17115, MOUSE17116	YEAST00024
OG0001832	MOUSE25462, MOUSE25464, MOUSE25463, MOUSE44709, MOUSE44711, MOUSE44710, MOUSE30185, MOUSE44708, MOUSE44705, MOUSE44706, MOUSE44704, MOUSE44707	YEAST05376
OG0001846	MOUSE28184, MOUSE06622, MOUSE06623, MOUSE28185	YEAST05067
OG0001850	MOUSE12662, MOUSE12664, MOUSE12663	YEAST01913
OG0001852	MOUSE53754, MOUSE02334, MOUSE02333, MOUSE52787, MOUSE52789, MOUSE52790, MOUSE52791, MOUSE52788	YEAST03121
OG0001853	MOUSE13937, MOUSE28203	YEAST05176
