peak54432	promoter-TSS 
peak38336	promoter-TSS 
peak2478	promoter-TSS 
peak20025	TTS 
peak79668	promoter-TSS 
peak22589	intron 
peak79760	intron 
peak43723	exon 
peak51840	Intergenic
peak11556	intron 
peak43848	Intergenic
peak65543	intron 
peak62824	Intergenic
peak69563	intron 
peak41994	Intergenic
peak34927	intron 
peak1584	Intergenic
peak28580	promoter-TSS 
peak65597	intron 
peak37417	Intergenic
peak41661	Intergenic
peak52867	Intergenic
peak58508	Intergenic
peak24144	intron 
peak39916	Intergenic
peak19100	Intergenic
peak25527	intron 
peak15470	promoter-TSS 
peak15667	intron 
peak79413	intron 
peak11524	intron 
peak39588	intron 
peak66196	intron 
peak79949	exon 
peak1705	Intergenic
peak36749	Intergenic
peak27460	Intergenic
peak59890	exon 
peak79403	Intergenic
peak72458	promoter-TSS 
peak42714	Intergenic
peak48471	intron 
peak76937	Intergenic
peak21042	intron 
peak29811	intron 
peak43052	exon 
peak77270	intron 
peak13456	Intergenic
peak46748	intron 
peak40269	intron 
peak23520	intron 
peak51367	Intergenic
peak31058	Intergenic
peak5446	intron 
peak74200	intron 
peak6876	Intergenic
peak57091	exon 
peak20671	promoter-TSS 
peak39374	intron 
peak42102	Intergenic
peak64800	Intergenic
peak1729	promoter-TSS 
peak51622	intron 
peak33382	intron 
peak7692	promoter-TSS 
peak62785	intron 
peak71946	Intergenic
peak16370	promoter-TSS 
peak47392	promoter-TSS 
peak31754	intron 
peak59247	Intergenic
peak62498	exon 
peak59432	Intergenic
peak45254	intron 
peak48705	exon 
peak5533	intron 
peak45952	Intergenic
peak8078	intron 
peak21072	Intergenic
peak81687	Intergenic
peak68697	promoter-TSS 
peak19471	Intergenic
peak50470	intron 
peak10336	Intergenic
peak20566	exon 
peak9612	Intergenic
peak53694	promoter-TSS 
peak2293	Intergenic
peak35128	TTS 
peak64979	intron 
peak50584	Intergenic
peak55275	promoter-TSS 
peak34727	Intergenic
peak24713	intron 
peak40189	Intergenic
peak10058	intron 
peak27329	exon 
peak57268	intron 
peak59240	intron 
peak42993	intron 
peak54317	intron 
peak22748	Intergenic
peak67906	intron 
peak9757	Intergenic
peak22819	Intergenic
peak3719	promoter-TSS 
peak64167	Intergenic
peak70464	intron 
peak12442	Intergenic
peak32390	Intergenic
peak47473	exon 
peak73829	exon 
peak71343	intron 
peak6525	Intergenic
peak32909	Intergenic
peak26790	intron 
peak54385	Intergenic
peak40810	Intergenic
peak75858	Intergenic
peak8855	intron 
peak14335	intron 
peak41456	Intergenic
peak57482	TTS 
peak75365	promoter-TSS 
peak51036	promoter-TSS 
peak18876	exon 
peak7151	intron 
peak27808	Intergenic
peak53762	intron 
peak16861	Intergenic
peak36091	promoter-TSS 
peak44805	Intergenic
peak7968	promoter-TSS 
peak61224	Intergenic
peak49414	intron 
peak64967	intron 
peak29612	Intergenic
peak58355	exon 
peak43075	Intergenic
peak55971	intron 
peak65559	exon 
peak12596	intron 
peak65793	exon 
peak11685	promoter-TSS 
peak32628	Intergenic
peak51976	intron 
peak33192	Intergenic
peak49654	Intergenic
peak22237	Intergenic
peak76248	Intergenic
peak4746	intron 
peak15079	promoter-TSS 
peak26376	intron 
peak19866	Intergenic
peak25654	intron 
peak43770	intron 
peak51255	TTS 
peak53274	intron 
peak12731	exon 
peak8580	intron 
peak34586	promoter-TSS 
peak20519	Intergenic
peak56826	intron 
peak64013	Intergenic
peak23423	promoter-TSS 
peak23473	TTS 
peak49077	intron 
peak41154	exon 
peak74938	intron 
peak41296	intron 
peak31044	intron 
peak76084	Intergenic
peak71579	Intergenic
peak71721	Intergenic
peak22825	exon 
peak78309	intron 
peak13588	Intergenic
peak12646	promoter-TSS 
peak56373	Intergenic
peak38056	Intergenic
peak73583	intron 
peak74412	intron 
peak9474	Intergenic
peak58791	intron 
peak70947	exon 
peak11055	promoter-TSS 
peak69620	exon 
peak46656	intron 
peak70600	intron 
peak36444	promoter-TSS 
peak78259	Intergenic
peak44213	Intergenic
peak2814	intron 
peak9433	intron 
peak50395	Intergenic
peak4263	Intergenic
peak56630	intron 
peak67863	intron 
peak61262	Intergenic
peak71197	Intergenic
peak10187	intron 
peak13153	Intergenic
peak65417	promoter-TSS 
peak38877	exon 
peak56080	exon 
peak6274	intron 
peak6896	intron 
peak633	intron 
peak10818	promoter-TSS 
peak39640	intron 
peak63218	exon 
peak64840	exon 
peak58846	intron 
peak60627	Intergenic
peak8490	Intergenic
peak77878	Intergenic
peak17530	intron 
peak79422	Intergenic
peak17978	intron 
peak82306	promoter-TSS 
peak25063	intron 
peak21823	intron 
peak11206	Intergenic
peak66463	intron 
peak56413	Intergenic
peak79881	exon 
peak41060	Intergenic
peak82034	Intergenic
peak52053	Intergenic
peak51668	Intergenic
peak31804	Intergenic
peak44376	exon 
peak80642	Intergenic
peak22824	promoter-TSS 
peak56014	Intergenic
peak654	promoter-TSS 
peak81794	Intergenic
peak41416	Intergenic
peak55796	Intergenic
peak4555	Intergenic
peak8464	Intergenic
peak59771	exon 
peak61280	intron 
peak56095	Intergenic
peak64464	Intergenic
peak56714	Intergenic
peak68433	Intergenic
peak67296	intron 
peak31291	promoter-TSS 
peak74217	Intergenic
peak75047	exon 
peak31994	intron 
peak75317	intron 
peak33347	Intergenic
peak8816	intron 
peak61034	Intergenic
peak68543	intron 
peak71369	promoter-TSS 
peak402	Intergenic
peak48378	intron 
peak5938	intron 
peak29771	intron 
peak72943	intron 
peak64085	promoter-TSS 
peak60441	intron 
peak9965	intron 
peak60536	intron 
peak22330	Intergenic
peak6692	Intergenic
peak44115	intron 
peak60402	promoter-TSS 
peak53712	Intergenic
peak31546	exon 
peak40749	intron 
peak24413	promoter-TSS 
peak48966	promoter-TSS 
peak56476	intron 
peak33293	exon 
peak42618	Intergenic
peak16541	intron 
peak51555	intron 
peak8651	Intergenic
peak42168	intron 
peak49044	promoter-TSS 
peak65315	Intergenic
peak23954	exon 
peak8381	intron 
peak13443	Intergenic
peak42185	intron 
peak68035	intron 
peak33433	promoter-TSS 
peak58091	exon 
peak36933	Intergenic
peak77534	intron 
peak32654	intron 
peak48226	intron 
peak43235	intron 
peak61048	Intergenic
peak2198	Intergenic
peak74526	exon 
peak15366	promoter-TSS 
peak73522	Intergenic
peak1614	promoter-TSS 
peak77582	Intergenic
peak66040	Intergenic
peak9703	Intergenic
peak2428	promoter-TSS 
peak58956	exon 
peak19937	promoter-TSS 
peak62361	TTS 
peak73866	exon 
peak16471	exon 
peak62260	exon 
peak19695	Intergenic
peak52202	Intergenic
peak5762	intron 
peak4867	intron 
peak75492	intron 
peak55140	promoter-TSS 
peak31878	promoter-TSS 
peak72752	intron 
peak23632	Intergenic
peak45950	promoter-TSS 
peak36310	Intergenic
peak41438	intron 
peak65062	intron 
peak81409	TTS 
peak66457	Intergenic
peak25457	TTS 
peak65973	Intergenic
peak30636	Intergenic
peak8868	exon 
peak6448	Intergenic
peak77240	intron 
peak17294	intron 
peak13938	exon 
peak51612	promoter-TSS 
peak28443	Intergenic
peak50872	Intergenic
peak77960	TTS 
peak17199	Intergenic
peak26300	intron 
peak52602	Intergenic
peak47339	intron 
peak11792	exon 
peak80525	Intergenic
peak20851	Intergenic
peak69166	Intergenic
peak67816	Intergenic
peak75997	intron 
peak65600	intron 
peak5137	promoter-TSS 
peak20901	Intergenic
peak4936	Intergenic
peak51569	Intergenic
peak60336	Intergenic
peak9411	intron 
peak22617	Intergenic
peak74651	Intergenic
peak15866	Intergenic
peak58551	Intergenic
peak7037	intron 
peak25727	TTS 
peak80775	Intergenic
peak16670	intron 
peak20626	intron 
peak37131	Intergenic
peak56500	Intergenic
peak72289	Intergenic
peak49884	Intergenic
peak73204	intron 
peak902	intron 
peak36994	intron 
peak17698	Intergenic
peak80876	intron 
peak33575	Intergenic
peak40460	exon 
peak73781	promoter-TSS 
peak17759	intron 
peak34642	Intergenic
peak32203	Intergenic
peak2607	exon 
peak12284	TTS 
peak22171	exon 
peak28977	Intergenic
peak43122	Intergenic
peak40038	Intergenic
peak57508	intron 
peak29350	intron 
peak31125	promoter-TSS 
peak22960	Intergenic
peak18668	Intergenic
peak14101	intron 
peak21004	intron 
peak73556	Intergenic
peak6964	intron 
peak28883	Intergenic
peak37192	Intergenic
peak44880	Intergenic
peak9778	Intergenic
peak5695	Intergenic
peak79658	Intergenic
peak8553	intron 
peak33693	Intergenic
peak76237	Intergenic
peak11073	Intergenic
peak1363	intron 
peak42829	Intergenic
peak10064	Intergenic
peak75970	Intergenic
peak22953	Intergenic
peak41926	intron 
peak59299	intron 
peak67358	Intergenic
peak68198	exon 
peak77483	exon 
peak28382	Intergenic
peak77036	intron 
peak73715	Intergenic
peak71941	exon 
peak45781	intron 
peak53939	intron 
peak9206	Intergenic
peak54039	intron 
peak17183	Intergenic
peak36123	Intergenic
peak29397	Intergenic
peak35326	Intergenic
peak13574	intron 
peak19430	intron 
peak81853	Intergenic
peak25967	Intergenic
peak49249	Intergenic
peak14241	Intergenic
peak72651	intron 
peak71862	exon 
peak77400	TTS 
peak53587	Intergenic
peak68558	Intergenic
peak67223	Intergenic
peak13762	exon 
peak22722	Intergenic
peak13986	Intergenic
peak47501	promoter-TSS 
peak10609	Intergenic
peak42089	Intergenic
peak3295	Intergenic
peak3776	Intergenic
peak11285	Intergenic
peak7161	Intergenic
peak80594	Intergenic
peak53734	TTS 
peak78503	promoter-TSS 
peak26730	exon 
peak12744	Intergenic
peak58304	intron 
peak31498	Intergenic
peak24194	promoter-TSS 
peak53132	exon 
peak78290	Intergenic
peak6392	Intergenic
peak56034	intron 
peak13092	intron 
peak6764	promoter-TSS 
peak37165	intron 
peak49503	exon 
peak56594	exon 
peak79829	promoter-TSS 
peak36772	intron 
peak58720	Intergenic
peak17777	Intergenic
peak50563	promoter-TSS 
peak16409	Intergenic
peak51268	Intergenic
peak50261	Intergenic
peak50805	Intergenic
peak73934	intron 
peak32026	Intergenic
peak59616	Intergenic
peak5465	Intergenic
peak79938	intron 
peak11345	exon 
peak6122	Intergenic
peak65285	Intergenic
peak19173	promoter-TSS 
peak22773	intron 
peak28668	exon 
peak54128	Intergenic
peak12414	exon 
peak49334	Intergenic
peak69533	exon 
peak45062	Intergenic
peak57970	exon 
peak11678	Intergenic
peak24642	Intergenic
peak54646	intron 
peak57394	promoter-TSS 
peak80501	promoter-TSS 
peak33353	intron 
peak23080	TTS 
peak68311	promoter-TSS 
peak43337	promoter-TSS 
peak53962	intron 
peak81564	intron 
peak546	promoter-TSS 
peak66074	intron 
peak37607	intron 
peak8677	intron 
peak42148	intron 
peak51399	intron 
peak77015	Intergenic
peak77992	Intergenic
peak35677	Intergenic
peak12992	Intergenic
peak23304	promoter-TSS 
peak41187	Intergenic
peak65988	intron 
peak28813	Intergenic
peak40558	intron 
peak44521	intron 
peak51322	exon 
peak51796	intron 
peak5482	TTS 
peak49708	Intergenic
peak62411	Intergenic
peak77105	promoter-TSS 
peak18614	promoter-TSS 
peak1942	intron 
peak58640	Intergenic
peak45486	intron 
peak62125	Intergenic
peak81533	promoter-TSS 
peak37774	exon 
peak17103	Intergenic
peak53225	Intergenic
peak75282	intron 
peak26220	promoter-TSS 
peak37991	Intergenic
peak80237	intron 
peak71882	promoter-TSS 
peak1279	Intergenic
peak75688	promoter-TSS 
peak73757	Intergenic
peak25272	TTS 
peak74923	Intergenic
peak11268	exon 
peak24671	intron 
peak44064	Intergenic
peak51484	intron 
peak8799	Intergenic
peak10473	promoter-TSS 
peak67477	promoter-TSS 
peak49432	Intergenic
peak7901	promoter-TSS 
peak58909	intron 
peak76983	Intergenic
peak58495	exon 
peak22128	promoter-TSS 
peak28473	promoter-TSS 
peak33947	Intergenic
peak7541	Intergenic
peak11605	intron 
peak34254	Intergenic
peak71002	promoter-TSS 
peak21561	intron 
peak1840	Intergenic
peak26589	exon 
peak47310	Intergenic
peak60352	Intergenic
peak9144	exon 
peak11444	intron 
peak13323	Intergenic
peak66896	promoter-TSS 
peak63390	intron 
peak21754	Intergenic
peak4655	TTS 
peak61328	Intergenic
peak218	Intergenic
peak22031	intron 
peak52812	exon 
peak1182	exon 
peak1120	Intergenic
peak80867	intron 
peak75746	Intergenic
peak75527	Intergenic
peak41951	Intergenic
peak45550	Intergenic
peak7481	Intergenic
peak41373	promoter-TSS 
peak65125	Intergenic
peak19306	Intergenic
peak79635	Intergenic
peak6829	promoter-TSS 
peak23965	intron 
peak71179	intron 
peak19051	Intergenic
peak79100	Intergenic
peak80857	intron 
peak53590	Intergenic
peak34058	Intergenic
peak65727	Intergenic
peak49156	Intergenic
peak76252	intron 
peak6988	promoter-TSS 
peak31501	Intergenic
peak52383	intron 
peak53280	intron 
peak66130	Intergenic
peak48988	intron 
peak30130	promoter-TSS 
peak43136	intron 
peak832	intron 
peak7092	Intergenic
peak77727	promoter-TSS 
peak159	Intergenic
peak528	Intergenic
peak53042	exon 
peak74770	intron 
peak2258	promoter-TSS 
peak30567	exon 
peak1517	promoter-TSS 
peak39342	exon 
peak81453	Intergenic
peak77922	exon 
peak77068	Intergenic
peak54648	intron 
peak58066	intron 
peak67397	intron 
peak26928	promoter-TSS 
peak2576	intron 
peak39789	intron 
peak72425	intron 
peak22448	exon 
peak51247	intron 
peak19677	promoter-TSS 
peak73732	Intergenic
peak69659	promoter-TSS 
peak24931	intron 
peak56923	promoter-TSS 
peak49674	Intergenic
peak33511	Intergenic
peak77327	intron 
peak446	Intergenic
peak70829	intron 
peak60135	Intergenic
peak45194	Intergenic
peak57321	Intergenic
peak40788	Intergenic
peak51593	Intergenic
peak72301	intron 
peak18807	Intergenic
peak48086	Intergenic
peak75590	TTS 
peak18222	intron 
peak55170	intron 
peak32578	Intergenic
peak38421	intron 
peak80826	Intergenic
peak65756	promoter-TSS 
peak66683	Intergenic
peak51461	exon 
peak80738	promoter-TSS 
peak7993	exon 
peak13206	intron 
peak35991	Intergenic
peak79273	Intergenic
peak10543	Intergenic
peak29443	intron 
peak42096	Intergenic
peak68905	intron 
peak68633	intron 
peak50615	Intergenic
peak57621	promoter-TSS 
peak44172	Intergenic
peak26119	Intergenic
peak82748	intron 
peak75716	Intergenic
peak46303	exon 
peak36572	intron 
peak34206	intron 
peak8143	Intergenic
peak62055	Intergenic
peak69066	intron 
peak75297	intron 
peak41345	Intergenic
peak59009	Intergenic
peak56677	intron 
peak48416	TTS 
peak50608	Intergenic
peak7769	exon 
peak36296	intron 
peak79350	intron 
peak60800	Intergenic
peak8312	Intergenic
peak71682	Intergenic
peak65260	intron 
peak39931	intron 
peak55888	Intergenic
peak21832	exon 
peak19991	exon 
peak9325	intron 
peak61821	exon 
peak57408	promoter-TSS 
peak18554	intron 
peak43745	intron 
peak18638	Intergenic
peak40128	exon 
peak40950	Intergenic
peak60017	promoter-TSS 
peak45362	promoter-TSS 
peak55816	exon 
peak39543	Intergenic
peak62758	Intergenic
peak13110	Intergenic
peak40571	Intergenic
peak25446	Intergenic
peak30379	intron 
peak36226	intron 
peak74990	Intergenic
peak34091	Intergenic
peak40859	exon 
peak70247	Intergenic
peak79525	Intergenic
peak74101	Intergenic
peak14081	intron 
peak49974	exon 
peak59956	intron 
peak30642	intron 
peak35651	Intergenic
peak10809	intron 
peak60485	promoter-TSS 
peak46523	Intergenic
peak76128	exon 
peak44602	intron 
peak66920	Intergenic
peak81129	intron 
peak42963	Intergenic
peak11579	intron 
peak5030	Intergenic
peak71985	Intergenic
peak13369	TTS 
peak53212	intron 
peak5186	Intergenic
peak33704	promoter-TSS 
peak42297	exon 
peak51203	Intergenic
peak11570	promoter-TSS 
peak44753	intron 
peak44164	intron 
peak12181	Intergenic
peak44338	intron 
peak76957	Intergenic
peak51943	Intergenic
peak82351	Intergenic
peak14223	exon 
peak39721	intron 
peak53871	Intergenic
peak15891	promoter-TSS 
peak72523	intron 
peak73869	exon 
peak76388	promoter-TSS 
peak31393	Intergenic
peak45044	Intergenic
peak60156	Intergenic
peak19133	intron 
peak55152	intron 
peak55294	Intergenic
peak17479	exon 
peak20526	intron 
peak58179	exon 
peak13136	intron 
peak12768	intron 
peak16693	promoter-TSS 
peak76882	Intergenic
peak44482	promoter-TSS 
peak72837	exon 
peak80707	intron 
peak5116	Intergenic
peak45164	Intergenic
peak25124	intron 
peak75479	Intergenic
peak50280	Intergenic
peak65967	Intergenic
peak37235	Intergenic
peak11623	promoter-TSS 
peak37678	Intergenic
peak10231	intron 
peak31848	Intergenic
peak82317	Intergenic
peak77955	intron 
peak76765	Intergenic
peak21930	Intergenic
peak26800	Intergenic
peak5272	promoter-TSS 
peak16421	intron 
peak17353	Intergenic
peak31147	intron 
peak68058	intron 
peak53978	intron 
peak81041	promoter-TSS 
peak25878	promoter-TSS 
peak43856	intron 
peak1060	Intergenic
peak34934	Intergenic
peak58265	Intergenic
peak22499	Intergenic
peak16770	exon 
peak72469	promoter-TSS 
peak28911	intron 
peak16501	intron 
peak7043	Intergenic
peak61401	Intergenic
peak77942	promoter-TSS 
peak77559	Intergenic
peak7353	Intergenic
peak43298	TTS 
peak81691	exon 
peak50707	Intergenic
peak25919	intron 
peak4420	intron 
peak30689	Intergenic
peak10654	intron 
peak74717	promoter-TSS 
peak52521	TTS 
peak66327	intron 
peak34679	Intergenic
peak6168	Intergenic
peak46533	TTS 
peak30937	intron 
peak66405	Intergenic
peak79861	Intergenic
peak25900	exon 
peak12634	promoter-TSS 
peak10380	intron 
peak20740	promoter-TSS 
peak36532	Intergenic
peak14953	intron 
peak63714	promoter-TSS 
peak57306	Intergenic
peak14134	intron 
peak25690	exon 
peak56325	Intergenic
peak2383	Intergenic
peak38380	TTS 
peak32033	Intergenic
peak30521	promoter-TSS 
peak13381	Intergenic
peak36948	Intergenic
peak8275	intron 
peak17730	intron 
peak54149	Intergenic
peak50479	Intergenic
peak37645	promoter-TSS 
peak69057	Intergenic
peak21383	Intergenic
peak80841	exon 
peak46892	intron 
peak57086	intron 
peak36412	Intergenic
peak55684	intron 
peak52483	Intergenic
peak50126	Intergenic
peak35645	intron 
peak23203	Intergenic
peak22121	intron 
peak6333	intron 
peak32827	intron 
peak32013	Intergenic
peak60238	promoter-TSS 
peak31596	intron 
peak47130	Intergenic
peak25890	Intergenic
peak58325	Intergenic
peak29147	Intergenic
peak6556	Intergenic
peak14682	intron 
peak28868	promoter-TSS 
peak45737	Intergenic
peak53809	Intergenic
peak69494	exon 
peak66858	promoter-TSS 
peak28121	exon 
peak55139	intron 
peak21182	Intergenic
peak47020	Intergenic
peak30021	Intergenic
peak46076	Intergenic
peak10900	promoter-TSS 
peak58290	Intergenic
peak61093	Intergenic
peak64206	Intergenic
peak34250	Intergenic
peak43340	promoter-TSS 
peak70663	promoter-TSS 
peak26310	Intergenic
peak1877	intron 
peak19068	Intergenic
peak76791	Intergenic
peak26162	intron 
peak28674	intron 
peak68069	intron 
peak60655	intron 
peak14092	intron 
peak59263	Intergenic
peak60311	TTS 
peak7848	promoter-TSS 
peak78767	exon 
peak41574	intron 
peak56496	exon 
peak70336	intron 
peak65928	promoter-TSS 
peak24300	Intergenic
peak39393	promoter-TSS 
peak29800	Intergenic
peak27343	promoter-TSS 
peak31873	exon 
peak43632	Intergenic
peak25982	intron 
peak39572	promoter-TSS 
peak52250	Intergenic
peak46208	Intergenic
peak29700	exon 
peak36835	Intergenic
peak81510	promoter-TSS 
peak81159	Intergenic
peak76854	Intergenic
peak4059	Intergenic
peak1420	intron 
peak30060	intron 
peak48552	Intergenic
peak28133	Intergenic
peak28404	intron 
peak48524	intron 
peak61158	intron 
peak30122	promoter-TSS 
peak45190	Intergenic
peak2867	intron 
peak24373	intron 
peak29838	intron 
peak64849	promoter-TSS 
peak63168	intron 
peak81763	Intergenic
peak76015	intron 
peak72698	Intergenic
peak29716	promoter-TSS 
peak73162	promoter-TSS 
peak306	intron 
peak38225	TTS 
peak44583	Intergenic
peak52982	intron 
peak55469	Intergenic
peak56205	Intergenic
peak31742	Intergenic
peak10790	intron 
peak47951	Intergenic
peak80021	exon 
peak52830	intron 
peak21369	intron 
peak35655	Intergenic
peak53345	Intergenic
peak62066	Intergenic
peak30553	intron 
peak19455	intron 
peak4048	Intergenic
peak57252	intron 
peak67264	Intergenic
peak46861	intron 
peak11148	intron 
peak70142	Intergenic
peak73413	promoter-TSS 
peak38596	intron 
peak23877	promoter-TSS 
peak58677	intron 
peak13758	intron 
peak20466	Intergenic
peak12070	intron 
peak53576	Intergenic
peak71166	Intergenic
peak24597	intron 
peak69078	Intergenic
peak76472	intron 
peak76323	Intergenic
peak27886	Intergenic
peak21420	Intergenic
peak24881	TTS 
peak50187	Intergenic
peak34861	Intergenic
peak66000	intron 
peak66010	Intergenic
peak15198	Intergenic
peak59854	Intergenic
peak67981	intron 
peak64263	intron 
peak82213	intron 
peak41842	intron 
peak38547	Intergenic
peak50506	Intergenic
peak65528	Intergenic
peak40245	exon 
peak62542	intron 
peak56969	exon 
peak47666	Intergenic
peak63539	exon 
peak69698	intron 
peak18406	Intergenic
peak27006	promoter-TSS 
peak52117	intron 
peak34765	intron 
peak13494	Intergenic
peak132	intron 
peak3721	Intergenic
peak297	Intergenic
peak33357	exon 
peak10274	intron 
peak24248	Intergenic
peak25362	Intergenic
peak64519	Intergenic
peak2668	promoter-TSS 
peak79203	Intergenic
peak34706	promoter-TSS 
peak24459	Intergenic
peak28587	promoter-TSS 
peak65321	intron 
peak47849	Intergenic
peak73968	intron 
peak7063	exon 
peak40865	intron 
peak47514	Intergenic
peak59509	intron 
peak40147	Intergenic
peak1263	intron 
peak3600	promoter-TSS 
peak25645	intron 
peak61748	intron 
peak67738	exon 
peak65397	Intergenic
peak66353	exon 
peak6171	Intergenic
peak56557	intron 
peak9744	intron 
peak48017	intron 
peak28843	Intergenic
peak50157	exon 
peak628	Intergenic
peak79812	TTS 
peak44204	Intergenic
peak6378	intron 
peak66171	intron 
peak38100	promoter-TSS 
peak57920	Intergenic
peak58580	Intergenic
peak23659	Intergenic
peak77863	Intergenic
peak80692	promoter-TSS 
peak10898	Intergenic
peak65250	Intergenic
peak74673	intron 
peak28622	Intergenic
peak61418	Intergenic
peak30294	Intergenic
peak79744	intron 
peak45052	Intergenic
peak11401	Intergenic
peak27165	promoter-TSS 
peak33543	Intergenic
peak8161	Intergenic
peak62210	promoter-TSS 
peak64070	intron 
peak18971	intron 
peak58406	promoter-TSS 
peak27067	promoter-TSS 
peak50076	Intergenic
peak57183	intron 
peak45534	promoter-TSS 
peak37674	exon 
peak31060	promoter-TSS 
peak5798	Intergenic
peak46971	Intergenic
peak9047	intron 
peak54963	intron 
peak79324	intron 
peak19155	Intergenic
peak19338	Intergenic
peak69216	intron 
peak44512	intron 
peak5829	exon 
peak47180	promoter-TSS 
peak68581	Intergenic
peak740	intron 
peak59675	Intergenic
peak9541	intron 
peak58241	Intergenic
peak9748	Intergenic
peak72506	Intergenic
peak77169	intron 
peak20004	promoter-TSS 
peak78249	intron 
peak19607	promoter-TSS 
peak57116	Intergenic
peak51584	exon 
peak32623	Intergenic
peak49259	intron 
peak28592	Intergenic
peak34330	Intergenic
peak62957	intron 
peak77154	intron 
peak76949	Intergenic
peak77389	promoter-TSS 
peak78066	exon 
peak16252	intron 
peak68465	intron 
peak15089	Intergenic
peak29132	Intergenic
peak26392	intron 
peak46135	Intergenic
peak21250	intron 
peak80215	intron 
peak75097	intron 
peak49990	TTS 
peak6528	Intergenic
peak79616	intron 
peak66464	intron 
peak8952	Intergenic
peak48365	promoter-TSS 
peak29337	Intergenic
peak31900	Intergenic
peak63199	Intergenic
peak20210	intron 
peak21019	TTS 
peak64859	Intergenic
peak46709	intron 
peak49355	Intergenic
peak82042	intron 
peak37521	Intergenic
peak63323	Intergenic
peak43896	intron 
peak71642	Intergenic
peak70762	intron 
peak82726	promoter-TSS 
peak38240	intron 
peak65586	intron 
peak26234	Intergenic
peak69557	Intergenic
peak47619	Intergenic
peak53903	intron 
peak58608	Intergenic
peak79242	promoter-TSS 
peak66222	Intergenic
peak11223	Intergenic
peak4901	promoter-TSS 
peak22686	intron 
peak34299	intron 
peak10495	intron 
peak4810	Intergenic
peak12342	Intergenic
peak40910	intron 
peak42429	Intergenic
peak61835	exon 
peak24839	intron 
peak49877	Intergenic
peak77895	intron 
peak66814	intron 
peak59571	intron 
peak8920	intron 
peak48256	Intergenic
peak9536	promoter-TSS 
peak69714	intron 
peak11112	intron 
peak74816	intron 
peak45188	intron 
peak48773	promoter-TSS 
peak35766	Intergenic
peak10984	Intergenic
peak3264	Intergenic
peak4808	Intergenic
peak74876	promoter-TSS 
peak70484	intron 
peak17030	intron 
peak41434	intron 
peak75709	TTS 
peak50091	intron 
peak23807	exon 
peak46324	Intergenic
peak78161	Intergenic
peak49636	exon 
peak12326	intron 
peak30615	Intergenic
peak35649	Intergenic
peak70743	TTS 
peak66583	Intergenic
peak30137	Intergenic
peak21191	intron 
peak10308	intron 
peak15451	Intergenic
peak32915	Intergenic
peak22299	Intergenic
peak50356	exon 
peak78114	Intergenic
peak81822	Intergenic
peak25729	Intergenic
peak27564	Intergenic
peak38497	Intergenic
peak15912	Intergenic
peak9566	intron 
peak54331	Intergenic
peak77096	TTS 
peak27861	intron 
peak55902	intron 
peak74613	Intergenic
peak1050	promoter-TSS 
peak58621	intron 
peak18124	intron 
peak2213	intron 
peak20936	Intergenic
peak16002	Intergenic
peak37369	exon 
peak39950	Intergenic
peak28142	exon 
peak21272	promoter-TSS 
peak33349	Intergenic
peak46681	exon 
peak45277	exon 
peak50559	Intergenic
peak26018	TTS 
peak29189	Intergenic
peak15901	promoter-TSS 
peak35164	Intergenic
peak50683	intron 
peak6631	Intergenic
peak72874	intron 
peak19017	intron 
peak27859	intron 
peak11687	promoter-TSS 
peak37532	Intergenic
peak5507	intron 
peak63786	promoter-TSS 
peak5647	promoter-TSS 
peak22258	exon 
peak28946	exon 
peak48947	Intergenic
peak25287	Intergenic
peak7858	promoter-TSS 
peak58871	Intergenic
peak57870	promoter-TSS 
peak62797	Intergenic
peak54366	exon 
peak62174	intron 
peak64954	promoter-TSS 
peak48957	Intergenic
peak491	exon 
peak69852	intron 
peak32613	intron 
peak53788	intron 
peak50430	Intergenic
peak21475	exon 
peak38354	Intergenic
peak53941	TTS 
peak80474	Intergenic
peak13525	Intergenic
peak56417	intron 
peak10180	Intergenic
peak28680	Intergenic
peak37224	intron 
peak54982	intron 
peak6863	Intergenic
peak15420	intron 
peak81544	Intergenic
peak68103	exon 
peak2851	exon 
peak51093	Intergenic
peak48034	intron 
peak74601	intron 
peak31542	promoter-TSS 
peak51628	exon 
peak78036	intron 
peak54435	exon 
peak34320	promoter-TSS 
peak9305	intron 
peak8432	intron 
peak57638	exon 
peak3597	exon 
peak25323	intron 
peak7187	promoter-TSS 
peak7454	Intergenic
peak80529	intron 
peak29486	exon 
peak63509	Intergenic
peak71806	Intergenic
peak68039	intron 
peak48763	intron 
peak27205	Intergenic
peak53116	intron 
peak17330	intron 
peak31568	Intergenic
peak37667	intron 
peak10104	intron 
peak76773	exon 
peak20201	intron 
peak59331	Intergenic
peak74467	Intergenic
peak32260	exon 
peak48140	intron 
peak54053	exon 
peak74085	intron 
peak65777	Intergenic
peak45981	Intergenic
peak70539	exon 
peak64614	Intergenic
peak79523	Intergenic
peak62032	intron 
peak8354	Intergenic
peak61015	Intergenic
peak68598	intron 
peak30885	Intergenic
peak6826	Intergenic
peak20499	intron 
peak45521	Intergenic
peak58970	Intergenic
peak394	Intergenic
peak17125	intron 
peak2599	intron 
peak7773	intron 
peak6094	Intergenic
peak47219	Intergenic
peak14982	Intergenic
peak76534	promoter-TSS 
peak15104	promoter-TSS 
peak24365	Intergenic
peak55424	Intergenic
peak63250	Intergenic
peak21080	Intergenic
peak34854	intron 
peak16555	Intergenic
